fon,fr
gùdó tɔ̀n,derrière lui
Un nyɔ́ han jì ă,Je ne sais pas chanter.
Ye wɛ ɖu we,Ce sont eux qui ont dansé
e ɖò nukɔn cè,il est devant moi
Fí na fá tawun ɖò Lyon sɔ.,"Demain, il fera très froid à Lyon."
"Ée nya ɔ́ ɖɔ mɔ̌ ɔ́, Jakɔ́bu ɖɔ n'i ɖɔ: “Kɛnklɛ́n bó ɖɔ nyǐkɔ towe nú mì.” Bɔ nya ɔ́ kanbyɔ́ ɛ ɖɔ: “A tunwun nyǐkɔ ce ǎ wɛ a?” Ée é ɖɔ mɔ̌ ɔ́, é xo ɖɛ dó jǐ tɔn ɖo fínɛ́.","Jacob l'interrogea, en disant: Fais-moi je te prie, connaître ton nom. Il répondit: Pourquoi demandes-tu mon nom? Et il le bénit là."
xovε sin mi,j'ai faim
Gbɛtɔ́ sukpɔ́ tawùn,Il y a vraiment beaucoup de monde.
kɛkɛ́ cé dó xó,mon vélo est usagé
nu mɔ jε mε vε wu nu mi,j'ai du mal à comprendre
mi ɖo jijɔ bo nɔ ɖe nu xixa mitɔn lε,nous avons l'habitude d'illustrer nos récitations
Ye yi wan nu ye ɖe tawun,Elles s'aiment bien.
Mi bo ma sin xomɛ o,Ne vous énervez pas.
Lin tamɛ dó nǔ ɖagbe lɛ jí.,Pensez positif.
Măwù ní ná mĭ gbigbɔ̀,Que Dieu nous prête vie.
É gba wigo cè,Il a révélé qui je suis.
É kp’ádò ɖ’ayi mɛ nú mì,C’est bien décidé en moi.
Deví tówé ɖò tó ɖó wé wɛ̀,Ton serviteur t’écoute.
E ɖo xεsi ɖiɖi sin hu do à ?,Y a-t-il besoin d’avoir peur ?
a ko yi bɛnɛɛ kpɔn à,es-tu déjà allé au bénin
Zùn e ɖò jǐ hwenu é nyí ɖiɖe gbɛɖe ɖé nugbǒ bɔ è nɔ b’acɔ́ nú atín lɛ kpo ganvɔ sín sinmɛ yetɔn ɖɛkpɛɖɛkpɛ hugǎn lɛ kpo.,La forêt en automne est un véritable tableau vivant où les arbres se parent de leurs plus belles teintes cuivrées.
e xwá ami sín gannú mɛ̀,il a pris l'huile du seau
Nù tɔ́n dó wŭ cè,J’ai des boutons sur le corps.
dè ɔ́ ɖì sún,les noix sont bien détachables
"Nu wɛ yědɛɛ lɛ́ɛ nɔ́ dó mɛ, hwɛ ka nɔ xo ɖɛ dó mɛ jí. Nú yě sí te dó jǐ ce ɔ́, yě ná ɖu winnyá, bɔ nyɛ mɛsɛntɔ́ towe ná j'awǎ.","Eux maudissent, mais toi, tu béniras ; s’ils se lèvent, ils seront honteux, et moi, ton serviteur, je me réjouirai."
Izlayɛ́li ví lɛ́ɛ lɛ́ tɔ́n ahwan ɖěvo Filisitɛ́ɛn lɛ́ɛ. Ɛluhanani Yayíi ví ɔ́ hu Laximi Goliyati nɔví Gatinu ɔ́. Nya énɛ́ ɔ́ ɖó hwǎn ɖokpó bɔ kpo tɔn kló sɔ avɔlɔnkpɔntín.,"Il y eut encore une bataille avec les Philistins. Et Elchanan, fils de Jaïr, tua le frère de Goliath, Lachmi de Gath, qui avait une lance dont le bois était comme une ensouple de tisserand."
"É lɛ́ gosín fínɛ́, bó gbɔn tɔdo Hinnɔ́mu tɔn ɔ́ mɛ, bó fán Jebuzinu só ɔ́ yi ɖó fí ɖé, ɖo Jeluzalɛ́mu sín afɔligbé. É hun káká yi só e ɖo tɔdo Hinnɔ́mu tɔn sín nukɔn ɔ́ kpá ɖo gbadahwe jí, bó yi tɔdo Hlafa ví lɛ́ɛ tɔn e ɖo totaligbé ɔ́ sín vivɔnu.","Elle montait de là par la vallée de Ben Hinnom au côté méridional de Jebus, qui est Jérusalem, puis s'élevait jusqu'au sommet de la montagne, qui est devant la vallée de Hinnom à l'occident, et à l'extrémité de la vallée des Rephaïm au nord"
hὲn wă,amener
kplá wă,amener
kplá... wă,amener
"Vǐ towe lɛ́ɛ ná sukpɔ́ kɔ́gúdu ɖɔhun. Yě ná gba kpé ayǐkúngban ɔ́ jí sín zǎnzǎnhwe jí káká yi gbadahwe jí; sín totaligbé wá tofɔligbé, bɔ un ná xo ɖɛ dó akɔta e ɖo ayǐkúngban jí lɛ́ɛ bǐ jí, gbɔn hwi kpódó vǐ towe lɛ́ɛ kpó jí.","Ta postérité sera comme la poussière de la terre; tu t'étendras à l'occident et à l'orient, au septentrion et au midi; et toutes les familles de la terre seront bénies en toi et en ta postérité."
glesi wɛ n'i,c'est un cultivateur
tɔjihún ɔ́ flí,la pirogue s'est retournée
atín nɛ́ jɛ kɛ́n é ná mù,cet arbre penche il va tomber
"Mawu ká wa nǔ nyanya ɖěbǔ nú tonukún Izlayɛ́li tɔn nɛ́ lɛ́ɛ ǎ; yě mɔ ɛ ganjí, bó ɖu nǔ, bó nu ahan.","Il n'étendit point sa main sur l'élite des enfants d'Israël. Ils virent Dieu, et ils mangèrent et burent."
Vì élɔ́ kpán dín,Cet enfant est très timide.
tέ fá,recevoir le génie de la divination
A ɖo kεɖε a ?,Es-tu bien ?
Ðǒtó gbeɖiɖó ɖěɖee è nɔ jla hwɛhwɛ ɖò pípan ɔ mɛ lɛ é.,Écoutez les annonces régulièrement diffusées dans le train.
é zɛ̀ vĭ ă,il est allé tout droit
Nyɔnu vi ɔ ɖo avɔvi fesinnɔ ɖo gbakun tɔn wu,La fillette a un ruban bleu au chapeau .
E gbɛ wan nu mi,II me déteste
"Mɔyízi gbo gbe nyibúsú ɔ́, bó yí hun tɔn bó sɔ́ alɔví tɔn d'é mɛ, bó sá dó vɔ̌sákpe ɔ́ sín zo lɛ́ɛ wú lɛ́ lɛ̌ dó, bó dó slá wǔ nú vɔ̌sákpe ɔ́. É kɔn hun e kpo ɔ́ nyi vɔ̌sákpe ɔ́ sín dodó wú; lě e é slá wǔ nú vɔ̌sákpe ɔ́, bó ɖe ɖó vo bɔ è nǎ nɔ́ sá vɔ̌ e nɔ súnsún hwɛ sín kɔ nú mɛ ɔ́ ɖ'é jí gbɔn ɔ́ nɛ́.","Moïse l'égorgea, prit du sang, et en mit avec son doigt sur les cornes de l'autel tout autour, et purifia l'autel; il répandit le sang au pied de l'autel, et le sanctifia pour y faire l'expiation."
a na nɔ gɔn ce a kabi a na yi nɔ towe gɔn,tu restes chez moi ou bien tu rentres chez ta maman
ùn ɖo asi su kpɔ,j'ai beaucoup de femmes
mɛ e nɔ ɖɔ̀ mɛ nù ɔ́ e nɔ ylɔ́ ɛ́ ɖɔ̀ mɛnuɖɔtɔ́,celui qui dit la chose d'un autre on l'appelle rapporteur
Gbakún cé bú,J'ai perdu mon chapeau.
"Axɔ́sú e ɖó nǔnywɛ́ ɔ́ nɔ́ mɔ nǔ jɛ mɛdídá lɛ́ɛ wú, bó nɔ́ nyínyɛ́ yě.",Un roi sage dissémine les méchants ; il fait passer sur eux la roue.
"Mawu Mavɔmavɔ ká ɖɔ n'i ɖɔ: “Nú a blǒ nǔ nukɔntɔn ɔ́ bónú yě má ɖi nǔ nú we, bó ɖótó we ǎ ɔ́, a blǒ gǔdo tɔn ɔ́, yě ná ɖi.","S'ils ne te croient pas, dit l'Éternel, et n'écoutent pas la voix du premier signe, ils croiront à la voix du dernier signe."
mɛ è un yí wan ná hú mɛ bì è nɛ́,c'est mon préféré
Azizɔnnɔ lε hungɔ bɔ agbɔn kpe ye,Les malades sont pâles et fatigués.
"Hǔn din ɔ́, mi bo dó gǎn bó zé ayi mitɔn kpó lǐndɔ̌n mitɔn kpó dó ba Mawu Mavɔmavɔ, Mawu mitɔn. Mi jɛ azɔ̌ jí, bó ná sá xwé nú Mawu Mavɔmavɔ, bó ná zé akɔjijɛgbá tɔn ɔ́ kpó nǔ e è sɔ́ ɖó vo nú Mawu Mavɔmavɔ lɛ́ɛ kpó wá ɖó xwé e mi ná sá n'i ɔ́ gbe.” Davídi to Levíi ví lɛ́ɛ sín gbɛ̌ta lɛ́ɛ","Appliquez maintenant votre coeur et votre âme à chercher l'Éternel, votre Dieu ; levez-vous, et bâtissez le sanctuaire de l'Éternel Dieu, afin d'amener l'arche de l'alliance de l'Éternel et les ustensiles consacrés à Dieu dans la maison qui sera bâtie au nom de l'Éternel."
E nyi nu ɖokpo a,Ce n'est pas la même chose
un ɖo akassato,je suis à akassato
É ɖó linlin ɖagbeɖagbe enɛ e mɛ ɖěɖee nɔ lin nǔ kpɔ́n zɛ xwé wu nú alɔ yeɖesunɔ tɔn lɛ é nɔ ɖó é.,Il avait cette maladresse charmante de ceux qui pensent trop vite pour leurs propres mains.
"Ée Davídi yi gba Edɔ́munu děgba ɛnɛ afɔwó (18.000) ɖo Jɛtɔdo ɔ́ mɛ bó lɛ́ kɔ wá xwé ɔ́, nyǐkɔ tɔn yi jǐ d'é jí.","Au retour de sa victoire sur les Syriens, David se fit encore un nom, en battant dans la vallée du sel dix-huit mille Édomites."
"Kenázi, Temani, Mivusáa,","le chef Kenaz, le chef Théman, le chef Mibtsar,"
a ɖ'e wu à,es
E xlε mi alokε tɔ tɔn ɔ,Elle m'a montré la bague de son père
Ɖyɔ xa mε,Echanger
Azan tεnwe lε ɖie,Les 7 jours de la semaine sont
Gbe tɛ́ wɛ́ é yí nú wè ?,Que t’a-t-il répondu ?
"Nǔɖuɖu e mi ná ɖu ɔ́, akwɛ́ wɛ mi ná zé dó xɔ ná ɖo yě sí. Sin vɔ́vɔ́ e mi ná nu ɔ́, akwɛ́ wɛ mi ná zé dó jɛ ná ɖo yě sí.”","Vous achèterez d'eux à prix d'argent la nourriture que vous mangerez,et vous achèterez d'eux à prix d'argent même l'eau que vous boirez."
Ablù ɖò hwenu.,emps nuageux.
xwe kpíkpé,le nouvel an
Zɔn dεdε,Va lentement
Akpá tɛ́ xwé to towe ka ɖè ?,De quel côté se trouve ton village ?
adɔzán,natte nuit
É zɔ̀n agbà klókló,Il est parti les mains complètement vides.
Akɔta wɛ nyi nu e nɔ dɔn mi do kpɔ bo ma nɔ do mi do kpɔn a e.,"La culture, c’est ce qui nous relie sans nous fondre."
un na sii túun fi e a gosin é a,puis
"Un nɔ mɔ ɖɔ un ɖò weziza jí, bo ɖibla nyí nǔgbo ǎ.","Je me sens léger, presque irréel."
"A gosin Akosombo ɔ,","Tu viens de Akosombo,"
"Bɔ Mawu Mavɔmavɔ ɖɔ nú Ablaxámu ɖɔ: “Ma wa nǔɖé nú vǐ ɔ́ ó; alɔ towe ma jɛ wǔ tɔn ó. Un tunwun din ɖɔ a nɔ sí mì, bɔ a tɛ vǐ ɖokpónɔ towe mì ǎ.”","L'ange dit: N'avance pas ta main sur l'enfant, et ne lui fais rien; car je sais maintenant que tu crains Dieu, et que tu ne m'as pas refusé ton fils, ton unique."
aji nyɔ,l'enfant est un bonheur
ayunmlimli enɛ mya,ce ballon est rouge
e gɔ̀n,il n'est pas venu
eyɛ mɛ vo ɔ un ɖo akɔnkpikpan a vɔvɔ ă,sans lui je n'ai même pas de courage
"Nú é ɖ'alɔ kogbán ɖěbǔ wú ɔ́, è nǎ hɛn kogbán ɔ́ gba. Nú é ɖ'alɔ nǔ e è zě atín dó bló ná ɔ́ ɖěbǔ wú ɔ́, è nǎ klɔ́ nǔ ɔ́ ganjí.","Tout vase de terre qui sera touché par lui sera brisé, et tout vase de bois sera lavé dans l'eau."
Dǒ azǎn azǎn jí nú axɔ́sú ɔ́; xwe ní jɛ xwe jí n'i káká sɔ́yi.,Ajoute des jours aux jours du roi ; Que ses années se prolongent à jamais !
a kun do ɖo fitε ɖo gle ɔ mε,tu as creusé un fossé dans quelle partie du champ
Mi yi tlele kaka yi fi ɖe ye nɔ blo wɔxuxu ɖe ɔ.,Continuez tout droit jusqu'à la boulangerie
"Ɛɛn, azɔ̀ tɔ́n myá nukún n’í","Oui, il s'y acharne."
É víví nú mì tawun ɖɔ un lɛ́vɔ mɔ we ɖò hwenu enɛ lɛ bǐ gudo.,Je suis ravi de te revoir après tout ce temps.
"Lo ɔ́, Sanmusɔ́ɔn nɔ ayǐmlɔ́mlɔ́ káká bɔ zǎn vlɔ́ ɖó we. Ée zǎn vlɔ́ ɖó we ɔ́, é sí te bó zunfán toxo ɔ́ sín hɔntogbó lɛ́ɛ kpó hɔnkpo we lɛ́ɛ kpó, bó hɔn yě sín do mɛ kpó gan e è dǒ sú hɔntogbó ɔ́ ná lɛ́ɛ kpó, bó zé ɖó abɔ̌ ta, lobo bɛ́ yě yi ɖó só e ɖo Eblɔ́n nukɔn ɔ́ ta.","Samson demeura couché jusqu'à minuit. Vers minuit, il se leva ; et il saisit les battants de la porte de la ville et les deux poteaux, les arracha avec la barre, les mit sur ses épaules, et les porta sur le sommet de la montagne qui est en face d'Hébron."
Camúma Halɔ́dinu ɔ́ kpó Elika Halɔ́dinu ɔ́ kpó ɖo yě mɛ;,"Schamma, de Harod. Élika, de Harod."
"Mawu Mavɔmavɔ Nǔbǐwúkpétɔ́, nǔ nyɔ́ nú mɛ e ɖeji dó wǔ we lɛ́ɛ. Mawu dó fífá sín akpá nú togun tɔn","Seigneur (YHWH) des Armées, heureux l’homme qui met sa confiance en toi !"
Zemijan lɛ sukpɔ tellement ke Kutɔnu ɔ pollution sukpɔ din,Les zemijan sont tellement nombreux que ça crée plein de pollution à Cotonou
akpà,vœu
Sún élɔ́ mɛ́ ɔ́ azan tɛ́ gbe mi na wá ?,Quel jour de ce mois viendrez-vous ?
"Nukún mɛ yětɔn ɖíɖí ganjí, yě mɔ lanmɛ ganjí.","Il avait le visage couvert de graisse, Les flancs chargés d'embonpoint ;"
Hwenu ɖò akpá.,Le temps arrange.
E gbo ɖe gbeta ɖɔ mi na sa,Il a donc décidé qu'on vende.
we kpo do asi towe kpo nukplɔnmε tɔwe mi nyi a,toi et ta femme êtes
sunmε’kwέ,salaire mensuel
sunmεkwέ,salaire mensuel
sunzanfífókwé,salaire mensuel
sunzanfúfókwέ,salaire mensuel
sunzankwέ,salaire mensuel
yi ba sin nú yĕ,va leur servir de l'eau
Enɛ nɔ ɖu mɛ.,Ça pique.
Yè kpé dó tɔ́,Ils sont fils d’un même père.
"Hléhlé, héléhélé","Avec insistance, parfaitement"
Un ko ya wu tuun ɔ na ko ɖe hwɛn sin alan nuwatɔ elɔ sin alɔ mɛ,J'aurai tôt fait de te débarrasser de cette vermine.
Tɔ gbà toxo ɔ́ bĭ,Le village est inondé.
e jε ɖɔ mi ni sεn mawu,il convient que nous adorions dieu
Mi ma gblé hwɛ dó ta nú mɛ ɖé ó,Ne condamnez personne.
Ɖevo lɛ,D'autres.
Bo na byɔ tɔ ɔ mε,Et te précipiter dans le fleuve.
nɔ tɔn,sa mère
"Kpatágan kpó siká kpó e è nǎ mɔ ɖo toxo ɔ́ mɛ lɛ́ɛ bǐ, nǔ e è zě ganvɔ dó bló ná lɛ́ɛ, kpódó éé è sɔ́ gan dó bló ná bɔ è nǎ mɔ ɖo toxo ɔ́ mɛ lɛ́ɛ bǐ kpó ɔ́, è nǎ sɔ́ ɖó vo nú Mawu Mavɔmavɔ bó ná bɛ́ kɔn nyi dɔkun tɔn lɛ́ɛ jí.”","Tout l'argent et tout l'or, tous les objets d'airain et de fer, seront consacrés à l'Éternel, et entreront dans le trésor de l'Éternel."
"Nyɛ ɔ́, un yí wǎn nú nǔ e a zɔ̌n lɛ́ɛ hú siká, un yí wǎn nú yě hú siká akú.","C’est pourquoi j’aime tes commandements, plus que l’or, plus que l’or fin ;"
tín mɛ́ tɔ́n wɛ́ nyí ɖɔ̀,c'est
Agun ɔ́ kɛ̀n,La foule s’est dispersée.
sìn jĭ,être le tour de
Mǐ na kplɔ́n nǔ dó ajɔ̌ e a lin é wu ganji.,étudions votre proposition commerciale avec attention.
"Jǐ ko ɖò jija wɛ sín azǎn atɔn ɖíe, bo ma nɔte ǎ.",pleut depuis trois jours sans s’arrêter.
wema tɔn lɛ nɔ vun a,ses livres ne sont pas déchirés
Gan wewe xo ɖo gletoxo mε.,Midi sonne au clocher du village
E kán byɔ́ mí ɖɔ̀ é ná wá ájí,Il m’a demandé s’il viendra.
Xomɛsin e fá bo ɖò cícící wɛ bo ɖò jiji wɛ ɖò ayi ce mɛ é ɖò axɔ́ nu wɛ ɖɔ emi na gbà ɖò hweɖebǔnu ɖò nǔagɔwaxámɛ kpo mɛmasí kpo gègě nukɔn.,La colère froide et silencieuse qui bout en moi menace d'exploser à tout moment face à tant d'injustice et de mépris.
"Mǐ ná sɔ́ ahwannú ɖo Mawu Mavɔmavɔ nukɔn, bó ná yi Kanáa. Amɔ̌, ayǐkúngban e ɖo Judɛ́ɛn tɔ ɔ́ sín akpáxwé fí ɔ́ ní nyí mǐtɔn.”",Nous passerons en armes devant l'Éternel au pays de Canaan ; mais que nous possédions notre héritage de ce côté-ci du Jourdain.
blă gbà nú mε,bâillonner quelqu’un
blă gŏ,bâillonner quelqu’un
dŏ kpò nu nú mε,bâillonner quelqu’un
yĕ jì vì kpɔ́n ă,ils n'ont jamais eu d'enfants
"Awǐnnya énɛ́ lɛ́ɛ ná nɔ flín nǔ e jɛ ɖo fí ɔ́ mi. Nú é wá jɛ sɔ gúdo bónú vǐ mitɔn lɛ́ɛ kan nǔ byɔ́ ɖɔ étɛ́ awǐnnya énɛ́ lɛ́ɛ ká nyí nú mi ɔ́,",afin que cela soit un signe au milieu de vous. Lorsque vos enfants demanderont un jour : Que signifient pour vous ces pierres ?
un dó nù ɔ́ así n'í,je lui ai confié la chose
e dó nyɛ̆ lanmɛ nú mì,il m'a enfoncé une aiguille dans la chair
Brenda ɔ mεsi glεnsingbe kplɔnmεtɔ wε.,Brenda est professeur d'anglais.
A ɖò nyladó mɛ̀,Tu es en danger.
"Énɛ́ ɔ́ gúdo ɔ́, Bɛni-Hadadi ɖɔ nú Akábu ɖɔ: “Un jló ná jó toxo e tɔ́ ce yí ɖo tɔ́ towe sí lɛ́ɛ nú we. A sixú lɛ́ ɖó ajɔ̌tɛn ɖé lɛ́ɛ ɖo Damási, lě e tɔ́ ce ɖó ajɔ̌tɛn ɖé lɛ́ɛ ɖo Samalíi ɔ́ ɖɔhun.” Ée Bɛni-Hadadi ɖɔ mɔ̌ ɔ́, Akábu ɖɔ n'i ɖɔ: “Nyɛ ɔ́, un ná jɛ akɔ xá we, énɛ́ ɔ́ gúdo ɔ́, un ná jó we dó bɔ a nǎ yi.”","Ces hommes tirèrent de là un bon augure, et ils se hâtèrent de le prendre au mot et de dire: Ben Hadad est ton frère ! Et il dit : Allez, amenez-le. Ben Hadad vint vers lui, et Achab le fit monter sur son char."
fítɛ́ é jì vì ɔ́ ɖè,où a-t-elle accouché
gblĕ ɖò mε sí,perdre l'amitié de quelqu'un
Axɔ́sú ɔ́ nɔ ná ɛ nǔ e hu dó e lɛ́ɛ bǐ ayǐhɔ́ngbe ayǐhɔ́ngbe. É gɔn nǐná ɛ gbeɖé káká bɔ Yoyakini kú ǎ.,Le roi pourvut constamment à son entretien journalier tout le temps de sa vie.
mì kó wá,nous sommes arrivés à
xo mɛɖe ă,n'a frappé personne
Awu elɔ gbla mi,Cet habit est trop large pour moi
"A zě nǔɖé bó ná wa ɔ́, a nǎ mɔ nu tɔn. Ali ná hun nú we.",A tes résolutions répondra le succès ; Sur tes sentiers brillera la lumière.
Alɔkpa vò,De façon différente.
Ayixa e nɔ ba na tuùn nǔ é ɖó hudo gbɔjɛ tɔn gbeɖé ǎ.,Un esprit curieux n’a jamais besoin de vacances.
"Nǔ e a wa nyi do ɔ́ wɛ ɖo xó zɔ́n ɖiɖɔ we wɛ, bɔ a sɔ́ sísɛ́ ɖó nukɔn bo ɖo adingban ɖó wɛ.","Ton iniquité dirige ta bouche, Et tu prends le langage des hommes rusés."
xlέ alì,guider
e lɔn jε lεngbɔvi kpεvi ɔ ji,puis il sauta vite sur la petite chèvre
kɛ́nkún ɔ́ cí botoò,la goyave est bien grosse
yì tomɛ̀,partir en voyage
Sivilizaciɔn lɛ nɔ kú gbɔn mɛhuhu gblamɛ ǎ; ye nɔ dɔ́ amlɔ jɛ nukɔn ɖò linlin e ɖɔ ɖɔ ye na nɔ ayǐ kaka sɔyi é mɛ.,Les civilisations ne meurent pas assassinées ; elles s’endorment d’abord dans l’illusion de leur éternité.
é ké hàn,il a entonné un chant
"e blo nu kpɛɖe kpowun ɔ, e nɔ xo e kaka bɔ agbaza tɔn bi nɔ gble.","il fait tout simplement une petite chose, il est frappé très fort jusqu'à ce que tout son corps soit gâté."
"Mɛsɛntɔ́ ce wá mɔ mɛ, bó ɖó adingban dó nu ce. Sɛ́mɛɖó, é bló mɔ̌ có, wɛnsagun Mawu tɔn ɖɔhun wɛ mɛ cí, hǔn nǔɖé jló mɛ hǔn, mɛ wa.",Et il a calomnié ton serviteur auprès de mon seigneur le roi. Mais mon seigneur le roi est comme un ange de Dieu. Fais ce qui te semblera bon.
yì tomɛ̀,voyager
zɔ̀n alì,voyager
"“Nú mɛɖé sɔ́ gle tɔn ɖó vo nú nyɛ Mawu Mavɔmavɔ ɔ́, è nǎ kpɔ́n lě e ɔ́ji e è nǎ dó d'é jí ɔ́ ná sukpɔ́ gbɔn ɔ́, bó ná sun axi. Nú ɔ́ji ɔ́ yi kilóo afɔɖé kanwe ko (300) ɔ́, è nǎ nɔ́ sú gankwɛ́ kanɖé wǒ (50).","Si quelqu'un sanctifie à l'Éternel un champ de sa propriété, ton estimation sera en rapport avec la quantité de semence, cinquante sicles d'argent pour un homer de semence d'orge."
cáwún,désormais
cáwún cáwún,désormais
sín éhɔ́nmέ à,désormais
sín hwenέnú ɔ́,désormais
Mɛɖe ɖo fi bo nɔ do Glɛnsigbe a ?,Est-ce que quelqu'un parle anglais ici ?
"Nǔkplɔnmɛ e kúnkplá jɛmɛji é xlɛ́ ɖɔ è mɔ ɖɔ nǔ lɛ nyɔ́ hugǎn, amɔ̌, é tɛɖɛ̌ jlǒ ma ɖó e ma nɔ ɖò te kpɔ́n mɛ ǎ é jí dó hwenu e è nɔ sɛ́ nǔ dó mɛ é wu.","L'étude de satisfaction révèle un net progrès sur la qualité perçue, mais souligne une insatisfaction persistante concernant les délais de livraison."
"Eyɛ mɛ vo ɔ, un ɖo akɔnkpikpan ă","Sans lui, je n’ai pas de courage."
agbomεnu,originaire d'abomey
É ɖò lyó bɔɖɔ kpɔ́n wɛ̀,Il est en train de palper le lyo.
é jló ná klá jɛ̀ nŭ bì nú,il veut prendre possession de tout
un ná yi azɔmɛ sɔ,j'irai au service demain
hì,griller
mὲ,griller
sɔ̀,griller
ta tɔn mɛ syɛ́n,il est bouché
xovε sin we a alo kɔ xu wε,as-tu faim ou soif
Vì ɔ́ ɖo gbigba wɛ̀,L’enfant fait caca (au moment où la dentition veut sortir).
Mi ɖò kpɔ́ à ?,Etes-vous ensemble ?
Ala atɔngɔ́ ɔ́ nɔ́ nyí Tígli; éyɛ́ nɔ́ sa yi Asilíi sín zǎnzǎnhwe jí; ala ɛnɛgɔ́ ɔ́ nɔ nyí Efláti.,"Le nom du troisième est Hiddékel; c'est celui qui coule à l'orient de l'Assyrie. Le quatrième fleuve, c'est l'Euphrate."
Anny na nɔ xwe gbe bo na hεn nɔvi tɔn,Annie restera à la maison pour garder son petit frère.
ahannyà,gaspillage
akwέ gúgú,gaspillage
gùgú,gaspillage
nùgùgú,gaspillage
nùzànnyídò,gaspillage
"E ko lín sɔmɔ̌, a na ɖò gbesisɔmɛ bo na kplé bo nu kafé ɖò aklunɔzán gbla e jǎwe é mɛ à?","Cela fait si longtemps, seriez-vous disponible pour qu’on se retrouve autour d’un café la semaine prochaine ?"
"É nɔ yí gbè nú wɛn e è nɔ sɛ́dó è lɛ é gbeɖé ǎ, bɔ enɛ nɔ wá kú awakanmɛ nú xɔ́ntɔn tɔn lɛ ɖò nukɔnmɛ.","Il ne répond jamais aux messages qu’on lui envoie, ce qui finit par décourager ses amis."
"Hwi wɛ bló ayi e ɖo xo ce mɛ é, hwi wɛ ján mì ɖo nɔ ce xo mɛ.","C’est toi qui as produit les profondeurs de mon être, qui m’as tenu caché dans le ventre de ma mère."
E nɔ́ súsɔ́ kɛkɛkɛ̀,Il tremble très fort.
"Hweví e ɖo tɔ ɔ́ mɛ lɛ́ɛ bǐ kú, bɔ tɔ ɔ́ gblé, bɔ Ejípunu lɛ́ɛ sɔ́ sixú nu sin tɔn ǎ; Ejípu to ɔ́ bǐ nyí kanjɔ.","Les poissons qui étaient dans le fleuve périrent, le fleuve se corrompit, les Égyptiens ne pouvaient plus boire l'eau du fleuve, et il y eut du sang dans tout le pays d'Égypte."
mε a ɖɔ xo na,a qui as
a mɔ à tɔ ce,vois
akwɛ́ élɔ́ ɖò mɔ́nímɔ́ní,cette pièce de monnaie est lisse
É cyɔ́ dó mì,Je ne m’y attendais pas.
"“Mawu Mavɔmavɔ, xɔ mì ɖo adingbannɔ lɛ́ɛ sí, hwlɛ̌n mì ɖo mɛblɛ́tɔ́ lɛ́ɛ sí.”","Seigneur, délivre-moi de la lèvre menteuse, de la langue trompeuse !"
axɔ́sú yí ì kpódó yɛyí kpán,le roi le reçut avec honneur
Mi kɛnklɛn bo ɖɔ ɖɔ emi na wá kplé sɔ tɔn cobɔ gan 5 m.m.,Merci de bien vouloir confirmer votre présence à la réunion de demain avant dix-sept heures.
Toɖevomεnu ɔ ɖo fi,L'étranger est ici .
"Ayi ce ɖò xixo wɛ dín, un ɖò adohu adohu jí.","’ai le cœur qui bat trop vite, je suis stressée."
mì kó ɖɔ̀ xó ɔ́ gbò,nous avons déjà jugé l'affaire
alɔ towe jlɔ́ ă,tu es maladroit
"É tá zogbɛ́n lɛ́ɛ ɖ'é jí, ɖo Mawu Mavɔmavɔ nukɔn, lě e Mawu Mavɔmavɔ kó ɖɔ n'i gbɔn é.","et il en arrangea les lampes, devant l'Éternel, comme l'Éternel l'avait ordonné à Moïse."
"Bɛ́ sín égbé din ɔ́, azaglɔ́gán Pɛ́si tɔn lɛ́ɛ kpó Mɛdi tɔn lɛ́ɛ kpó sín asi lɛ́ɛ ná se zǐnzán axɔ́si ɔ́ tɔn, bɔ yě ná ɖó dó énɛ́ ɔ́ wú, bó ná jɛ gbe kán nú asú yětɔn lɛ́ɛ jí; nukún mɛ e kpɔ́n nú asú yětɔn lɛ́ɛ wɛ nyɔ̌nu lɛ́ɛ ná ɖe ɔ́ ká ná dó xomɛsin xomɛ nú súnnu lɛ́ɛ.",Et dès ce jour les princesses de Perse et de Médie qui auront appris l'action de la reine la rapporteront à tous les chefs du roi ; de là beaucoup de mépris et de colère.
"bó ná zé nǔxlɛ́mɛlɔví ɖisíxwé tɔn ɔ́ d'é mɛ, bó mi azɔn tɛ́nwe ɖo Mawu Mavɔmavɔ nukɔn.","Le sacrificateur trempera le doigt de sa main droite dans l'huile qui est dans le creux de sa main gauche, et il fera avec le doigt sept fois l'aspersion de l'huile devant l'Éternel."
dazɛ́n ɔ́ kɔn sìn,la jarre a laissé couler de l'eau
A no ɖo wezun din !.,Tu vas trop vite !
"Un sè mɔ̌, un ka mɔ̀ kpɔ́n ă","Je l’ai entendu dire, mais je ne l’ai jamais vu."
"Trolo ɖee e mɔ mi ɔ, e ko nu","Dès qu'il m'a vu, il m'a souri ."
vì ɔ́ nɔ́ jíjé dín,l'enfant fait trop l'important
kεkεvi kpikpεn ɖelε jan ɖo bɔ sin ali ji,les lourdes charrettes s'enfoncent dans les chemins boueux
mɛ ɖagbe lɛ na kpe glesi lɛ ɖo sɔ,les volontaires rencontreront les villageois demain
a na wa xɔ atinsinsɛn ɖokpo à,est-ce que tu vas acheter un fruit
godé,à découvert
jὲ,à découvert
kololò,à découvert
wĕxò,à découvert
e ɖò zinzɛn wɛ̀,elle fait des efforts pour accoucher
mì má mɔ̀ nù jɛ́ mɛ́ nɛ́,nous n'y avons rien compris
