ligne_brute,fon,fr,raison
20640,É sù!,"À la vôtre, santé !",trop_court
20649,Nǔ e gbé nya wɛ è ɖè ɖò sun atɔn mɛ é,Objectif trimestriel,trop_court
20653,sɔ́xwásɔ́xwá,passion,trop_court
20653,yajiji,passion,trop_court
20656,awà gangi à,est,trop_court
20663,Nù tí ă !,Rien !,trop_court
20666,ayijɛdò,confiance,trop_court
20673,Webɔ̀ webɔ̀,"Deux à deux, en rang deux par deux",trop_court
20690,nùnywɛ́tɔ́ wɛ̀,c'est un sage,trop_court
20693,Xwe ɖe wa yi ɔ,L'an dernier,trop_court
20698,ɖin ɖésú,maintenant même,trop_court
20699,mi ni ɖɔ xo ɖokpo,parlons ensemble,trop_court
20707,gún ɖà,rassembler les tresses des cheveux,trop_court
20711,ɖù ahizì,commettre une injustice,trop_court
20715,Gbeyiyi ahan,Boisson d’acceptation.,trop_court
20720,E nyɔ din,C’est magnifique.,trop_court
20723,mɔto lε ɖe bo nɔ wa hunɖotεn ɔ a,est,trop_court
20725,ylɔ̆,appeler,trop_court
20725,ylɔ́ ɖɔ̀,appeler,trop_court
20725,ylɔ̆ wă,appeler,trop_court
20730,n'anɔ̆,téter,trop_court
20730,nɔ̆ anɔ̆,téter,trop_court
20738,Tanyɔ ɔ́,Peut-être,trop_court
20739,malinmálín mὲ,dans un bref délai,trop_court
20741,kpɔ́tɔ́,être fondus collés ensemble,trop_court
20741,kpántán,être fondus collés ensemble,trop_court
20742,kplé yè ɖó azava'sá fínɛ́,réunis,trop_court
20743,xò lɔ̀,commettre un acte contre nature,trop_court
20753,Kanweko nukun we,102,artefact
20754,alɔbá,plastique,trop_court
20756,xixɔtɔ,acheteur,trop_court
20761,alɔ towe ɖíè,mes compliments,trop_court
20762,tawun tɔn ɔ́,en particulier,trop_court
20765,bléwún,se salir,trop_court
20765,và,se salir,trop_court
20767,afɔkpà,soulier,trop_court
20771,nɔnvi tché,mon frère,trop_court
20783,nùmàkéyanatɔ́,personne insouciante,trop_court
20783,nùmàlínkpɔ́ntɔ́,personne insouciante,trop_court
20785,kú sé,être boiteux,trop_court
20787,blă wŭ nú mε,s'affliger,trop_court
20787,jì yà,s'affliger,trop_court
20787,sà xwexwe,s'affliger,trop_court
20795,zăn dŏ ablù,faire noir,trop_court
20797,mì ɖé,nous-mêmes,trop_court
20797,mìɖéé,nous-mêmes,trop_court
20797,mi ɖésú,nous-mêmes,trop_court
20798,è,le,trop_court
20798,i,le,trop_court
20798,lɔ́,le,trop_court
20804,afɔgólì,coude,trop_court
20806,nyì dŏ ayĭ,terrasser,trop_court
20806,sɔ́ zìn d'áyĭ,terrasser,trop_court
20806,sɔ́ zìn dŏ áyĭ,terrasser,trop_court
20806,zĭn d'ɛ́,terrasser,trop_court
20807,Afɔtɔn nukun ɛnɛ,19,artefact
20808,wunhɔnmɔ́nɔ̀,grossier,trop_court
20808,xayaxayà,grossier,trop_court
20809,xomɛnyinyɔ́nɔ,personne généreuse,trop_court
20809,xomɛnyunyɔ́nɔ̀,personne généreuse,trop_court
20817,azɔn wè,deux fois,trop_court
20818,etɛ́ wú wɛ̀ a gbà lɛ̀gbá gbàn,pourquoi es,trop_court
20820,"Micimána, Yiimɛya,","Mischmanna, le quatrième ; Jérémie, le cinquième ;",trop_court
20824,alăn,velours,trop_court
20824,vludù,velours,trop_court
20825,Jò mí dó xwíí,Laisse-moi tranquille.,trop_court
20828,Cí !,Marque le dégoût devant quelque chose de répugnant.,trop_court
20831,dɛdɛ,doucement,trop_court
20833,"Koklo e do han ""Akɔkikɔ"" wɛ",Il chante,trop_court
20835,Mi kú lɔ̀jŭ,Mes condoléances.,trop_court
20840,tamɛfɔn,cerveau,trop_court
20841,fí tɛ́ a xwè,où vas-tu,trop_court
20842,Wǎ din.,Viens maintenant.,trop_court
20847,bŭ dŏ mὲ,être incompréhensible,trop_court
20851,kpákpá wèwé,oie,trop_court
20853,"Lo ɔ́, Amasiyasi wlí tó xó énɛ́ wú ǎ. Ɖó Mawu ko jló ná jó Amasiyasi kpó sɔ́ja tɔn lɛ́ɛ kpó nú kɛntɔ́ yětɔn lɛ́ɛ, ɖó yě húzú kpan nukɔn Edɔ́mu vodún lɛ́ɛ bó nɔ́ sɛn.",25.20,artefact
20866,lokossavi jiji,originaire de lokossa,trop_court
20868,aladà,alada,trop_court
20871,hwenuxo,histoire,trop_court
20881,ayiblublú,fourberie,trop_court
20881,yɛmɛnuwiwá,fourberie,trop_court
20881,yɛnuwiwá,fourberie,trop_court
20901,jὲ mε nú mε,satisfaire quelqu'un,trop_court
20901,kpé nú mε,satisfaire quelqu'un,trop_court
20902,acɛgbè,autorité,trop_court
20911,mɔɔ̀ ?,ah oui ?,trop_court
20915,gbɔ,soignes,trop_court
20928,Etɔn wɛ,C'est le sien.,trop_court
20935,ayidò,trou dans la terre,trop_court
20941,Mi ku d’azɔ,Bon travail.,trop_court
20948,Gbɔjɛ kpɛɖé.,Souffle un peu.,trop_court
20951,nabí ká wɛ̀,c'est combien,trop_court
20956,hùn zò,être sévère,trop_court
20956,syέn,être sévère,trop_court
20964,dukwí,madras,trop_court
20964,tabladukwí,madras,trop_court
20964,tablanú,madras,trop_court
20964,tablavɔ́,madras,trop_court
20965,Alɔ xixa,Une main crochue,trop_court
20970,xwè bĭ mɛ̀,chaque année,trop_court
20972,nyὲkέn,sable de mer,trop_court
20972,xukɛ́n,sable de mer,trop_court
20974,ce wɛ̀,c'est à moi,trop_court
20975,oóó nú wè,honte à toi qui as fait une faute pour t'amuser,definition
20984,alɔganví élɔ́,cet anneau,trop_court
20988,Ahún ɖaxó,Brouillard épais,trop_court
20990,bibε,cacher,trop_court
20990,ɖìɖá hwlă,cacher,trop_court
20990,hwlă,cacher,trop_court
20990,sɔ́ hwlă,cacher,trop_court
20990,sɔ́ tɔ̀,cacher,trop_court
20990,sὲ ɖŏ,cacher,trop_court
20990,sὲ xwè,cacher,trop_court
20990,tɔ̀,cacher,trop_court
20990,và,cacher,trop_court
20990,zĕ hwlă,cacher,trop_court
20991,ma xo kpɔ́n ó,n'hésite pas,trop_court
20992,nɔ te kpɔ́n mì,attends-moi,trop_court
20995,nùmájɛ́gan wɛ̀,c'est inconvenant,trop_court
20996,alɔjínúnɔ́,virginité,trop_court
20996,sέgbéjí,virginité,trop_court
20998,Fitε yi a ɖe ?,Où vas-tu?,trop_court
21020,dăn,bouger,trop_court
21020,ɖŭ,bouger,trop_court
21020,xò xɛ́,bouger,trop_court
21024,Kɛ́ɖɛ́góví wɛ̀,Il est calme.,trop_court
21028,alinmɛ,rein,trop_court
21041,E hun zo,C’est chaud.,trop_court
21050,vɔ̀ găn,être à bout de forces,trop_court
21057,anɔvínú,mamelon,trop_court
21058,mεjíjὲ mεjíjε,à tour de rôle,trop_court
21059,ahannudíngan,ivrognerie,trop_court
21064,tó kpeɖekpeɖè,oreille épaisse,trop_court
21071,jinukún,récolte,trop_court
21071,jinukúnyíyá,récolte,trop_court
21071,nùkúnyíyá,récolte,trop_court
21071,nùyíyá,récolte,trop_court
21071,yiya,récolte,trop_court
21072,Sɔ́ kpé‚ mi sɔ kɛ mi.,"Pardon, excuse-moi.",trop_court
21073,gàndìdó,persévérance,trop_court
21073,gàndùdó,persévérance,trop_court
21073,kanɖodónùwú,persévérance,trop_court
21073,lìnsyέnsyέn,persévérance,trop_court
21073,sundidε,persévérance,trop_court
21078,syán,s'accroupir,trop_court
21078,syán ayĭ,s'accroupir,trop_court
21081,Jε kpoli,S’agenouiller,trop_court
21084,"Énɛ́ ɔ́, yɛ Mawu Mavɔmavɔ tɔn wá Yaxaziɛ́li jí ɖo agun ɔ́ mɛ. Yaxaziɛ́li ɔ́, Zekaliyahu ví wɛ é nyí, bó nyí Benaya vívú, bó nyí Yeyiɛ́li vívú vivu, bó nyí Mataniya vitikli, bó nyí Levíi ví, bó jɔ ɖo Asáfu kún mɛ.",20.14,artefact
21087,wĕyì,oui,trop_court
21087,εεn,oui,trop_court
21090,gúnmígúnmí,bien loin,trop_court
21090,vwéé,bien loin,trop_court
21094,xɔ̀ wŭ nú mɛ,bouleverser quelqu’un,trop_court
21096,"Sɔ́ja e nɔ hɛn gǎ lɛ́ɛ da gǎ dó axɔ́sú Joziyási, bɔ é ɖɔ nú mɛsɛntɔ́ tɔn lɛ́ɛ ɖɔ: “Mi zé mi yi xwé, ɖó un ɖo ganjí ɖěbǔ ǎ.”",35.23,artefact
21097,"Ajagbetɔ́, ajàgblé",Qui a les plumes parsemées sur le corps,trop_court
21098,Azɔxɔ ayizɛn,Six classes.,trop_court
21100,kandivi jiji,originaire de kandi,trop_court
21101,"Nyɔ̌wɛ̀n, nyɔ̌hɛ̀n, asì nɔ̀ví, asú nɔví",Beau-frère,trop_court
21103,Sagbo ɖie,Voici Sagbo,trop_court
21122,azɔ,travail,trop_court
21131,mɛjitɔ ce lɛ,mes parents,trop_court
21132,syέn dɔ̀n,être affermi,trop_court
21141,sá hùn,barbouiller de sang,trop_court
21142,ahwànhŭn,avion militaire,trop_court
21144,Nukiko ɖagbeɖagbe,Sourire éclatant,trop_court
21145,yă wŭ,se remuer,trop_court
21147,Vὲ xú mì,J'ai soif.,trop_court
21151,xɔntɔn,amie,trop_court
21152,afɔvi,orteil,trop_court
21154,Xwé gbè,"Maison, demeure",trop_court
21160,atín,bois,trop_court
21160,atínkánmὲ,bois,trop_court
21160,zunkàn,bois,trop_court
21164,e ɖè,il y en a,trop_court
21176,gà,taille,trop_court
21176,gaɖiɖi,taille,trop_court
21176,hă,taille,trop_court
21176,tágá,taille,trop_court
21177,Ku d'ayijinjɔn,Salut pour le fait d'être assis.,trop_court
21185,zun mɛtɔ,insulter le père,trop_court
21192,alɔjí,intact,trop_court
21192,sέgbéjí,intact,trop_court
21195,Awu xoxo,Robe (vieille),trop_court
21198,tófífɔ́,action d'ourler une étoffe,trop_court
21198,tófúfɔ́,action d'ourler une étoffe,trop_court
21214,nɔ yétɔn,leur mère,trop_court
21215,ɖò ayĭ,réserver,trop_court
21215,hὲn ɖ'áyĭ,réserver,trop_court
21215,hὲn ɖŏ tè,réserver,trop_court
21222,"Yexoyada zé hɔnjínɔtɔ́ lɛ́ɛ ɖó Mawu Mavɔmavɔ xwé ɔ́ sín hɔntogbó lɛ́ɛ jí, bónú mɛ e wa nǔblíblí lɛ́ɛ ɖokpó ní má byɔ́ xwé ɔ́ gbe ó.",23.19,artefact
21228,anɔɖíɖé,sevrage,trop_court
21234,jὲ glè,faire un champ,trop_court
21239,alɔkponɔ̀,manchot,trop_court
21239,alɔkúmɔ́nɔ̀,manchot,trop_court
21239,awaɖokpónɔ̀,manchot,trop_court
21239,awagbonɔ̀,manchot,trop_court
21239,awasínsέnnɔ̀,manchot,trop_court
21239,awatɔ́nɔ̀,manchot,trop_court
21241,tɔxɔsu lɛ,les pygmées,trop_court
21244,mi ɖo mɔto jonɔ lɛ blo ɖo wɛ abi,excusez,trop_court
21250,Asice (àsúce) nɔví súnnù,Mon beau-frère,trop_court
21258,nyà,chasser,trop_court
21258,nyà gbĕ,chasser,trop_court
21258,nyà mε,chasser,trop_court
21258,nyà mε tɔ́n,chasser,trop_court
21258,nyà tɔ́n,chasser,trop_court
21258,nyì,chasser,trop_court
21264,gbò vε̆ mε,désirer fortement,trop_court
21268,kúkú ɖε̆,bégayer,trop_court
21271,agba hwlɛ́nhwlɛ́n tɔ̀n,son concours,trop_court
21273,kú gàn,manquer la mesure,trop_court
21276,ɖŏ azɔ̀n nú mε,rendre malade,trop_court
21278,me xóxó,grande personne,trop_court
21278,mɛxó,grande personne,trop_court
21280,xú myɔ̀,se dessécher au feu,trop_court
21280,xú zò,se dessécher au feu,trop_court
21285,a ko winnyá bĭ,tu es déjà un grand jeune homme tu es déjà une grande fille,definition
21291,Hwan globotoo,Un caillou rond,trop_court
21292,fotofoto,vide,trop_court
21292,fotoò,vide,trop_court
21292,tófó,vide,trop_court
21292,tófwé,vide,trop_court
21292,vɔ̀tɔ́,vide,trop_court
21292,xololò,vide,trop_court
21293,asɔ̀,sorte de perdrix,trop_court
21293,asɔklé,sorte de perdrix,trop_court
21293,asɔὲ,sorte de perdrix,trop_court
21312,Nù cí mɔ̆,C'est ainsi.,trop_court
21318,mi sɛ́ yi gǔdò,reculez,trop_court
21322,Flan ɖokpo,Un franc,trop_court
21323,Nu gɛyingɛyin,Une chose épouvantable,trop_court
21330,vì élɔ́,cet enfant,trop_court
21340,yi ă,n'est pas parti,trop_court
21343,atɔ́ wè,"ton grand-père paternel, ta grand-mère maternelle ! (insulte)",trop_court
21343,atɔ́’wè,"ton grand-père paternel, ta grand-mère maternelle ! (insulte)",trop_court
21343,atɔ́wè,"ton grand-père paternel, ta grand-mère maternelle ! (insulte)",trop_court
21352,Gbɛmɛ nyɔ,Il fait bon.,trop_court
21354,azàn vì élɔ́ lɛ́ mɛ̀,ces jours-ci,trop_court
21358,"Hòxónɔ̀, hòónɔ̀",Mère de jumeaux,trop_court
21360,hɔnvi,nombril,trop_court
21363,ɖyɔ̆,changer,trop_court
21363,hùzú,changer,trop_court
21372,hwefɔntɛn,est,trop_court
21397,Ce wε,C'est le mien,trop_court
21401,e nà ɖó tó é wɛ́ à,va,trop_court
21404,Tevi sisɔ,Ignames frites,trop_court
21406,azɔ̀n ɖébŭ,derechef,trop_court
21411,Un zé alɔ nú wè !,Bravo !,trop_court
21415,asúdídáhwénú,femme,trop_court
21425,Un ná ɖò kpikpɔ́n wɛ̀,Je réfléchirai.,trop_court
21427,"Ilukya kpó mɛ e axɔ́sú ɔ́ ɖe gɔ́ n'i lɛ́ɛ kpó yi gbeyíɖɔ Mawu tɔn nyɔ̌nu Hulida, Calúmu sín asi ɔ́ gɔ́n. Calúmu ɔ́, Tokáti ví wɛ, bó nyí Hasla vívú; é wɛ nɔ cɔ́ awu e ɖo Mawu xwé gbe lɛ́ɛ. Jeluzalɛ́mu wɛ Hulida nɔ́ nɔ, ɖo Jeluzalɛ́mu sín slá yɔ̌yɔ́ ɔ́ mɛ. Yě yi mɔ Hulida, bó ɖɔ xó ɔ́ n'i, lě e axɔ́sú ɔ́ ɖɔ gbɔn é.",34.22,artefact
21431,nε na d'amlɔ gbɔn,comment vais,trop_court
21432,akpà,promesse,trop_court
21433,dŏ avà,s'accoupler,trop_court
21438,mεɖĕvonùjlómε,envie,trop_court
21438,mεnujlómε,envie,trop_court
21438,mεnúsumεnukúnmὲ,envie,trop_court
21438,nùjlómε,envie,trop_court
21438,nùjlómεnú,envie,trop_court
21438,nukúnɖòmεgbanmὲ,envie,trop_court
21440,"Yě nɔ́ kpé nukún dó mɛ e ɖo azɔ̌wanú tɛnmɛ tɛnmɛ fɔ wá wɛ lɛ́ɛ wú, bó ɖo mɛ e ɖo azɔ̌ wa wɛ lɛ́ɛ bǐ jí kpɔ́n wɛ gbɔn azɔ̌ ɖokpó ɖokpó kɔn. Levíi ví ɖěvo lɛ́ɛ nyí wěgbójínɔtɔ́, nǔjíkpɔ́ntɔ́ kpó hɔnjínɔtɔ́ kpó.",34.13,artefact
21443,xwè ayìisó,être paralysé,trop_court
21449,Hwenu su.,Il serait temps.,trop_court
21462,kpàn nukɔ̀n,regarder vis à vis,trop_court
21471,Un jlo,Je veux,trop_court
21479,Rosu ɖagbeɖagbe,Des roses jolies,trop_court
21480,"Ezayíi 14.28 Akázi zán wá kú bɔ è sɔ́ ɛ yi ɖó Jeluzalɛ́mu, è sɔ́ ɛ ɖó axɔ́sú Izlayɛ́li tɔn lɛ́ɛ sín yɔdo mɛ ǎ. Vǐ tɔn Ezekiyási wɛ ka ɖu axɔ́sú ɖó tɛn tɔn mɛ.",28.27,artefact
21485,wèmàsétɔ,celui qui sait écrire,trop_court
21485,wèwlàntɔ́,celui qui sait écrire,trop_court
21487,ðè gaɖiɖi tɔn kpò,raccourcis,trop_court
21490,étɛ́ wɛ́ lɛ́ kpò,qu'est,trop_court
21491,aɖò,vaurien,trop_court
21491,nùvɔ́nɔ̀,vaurien,trop_court
21495,Woo gbɛ,"II y a de l'harmattan, l'harmattan souffle",trop_court
21523,E fùn,Il a bruiné.,trop_court
21525,bó nú,afin que,trop_court
21525,nú,afin que,trop_court
21533,kanakana,lance-pierres,trop_court
21533,kannakannà,lance-pierres,trop_court
21542,kú d'ázɔ̆,merci pour ce que tu as fait,trop_court
21554,jĭ wŭ,émerveiller,trop_court
21556,Tɔjihun hlɔnhlɔnnɔ,Vague puissante,trop_court
21562,aklɔ̀n,tombeau,trop_court
21562,yɔmɛ̀,tombeau,trop_court
21562,yɔ̀,tombeau,trop_court
21562,yɔdò,tombeau,trop_court
21562,yɔta,tombeau,trop_court
21563,nabí a nɔ sà takín ɖíɖó,combien vends,trop_court
21565,aglanká do tɔ̀n,mâchoire inférieure,trop_court
21577,akóbá tɛ́ ɖíè,quel malheur,trop_court
21580,mɛ ɖɛ ɖ'áli jí,orientation,trop_court
21584,Vi nukɔntɔn,Le premier enfant.,trop_court
21589,Ɖɔla ɖokpo,Cinq francs (un dollar).,trop_court
21593,étɔ̀n,ses,trop_court
21593,tɔ̀n,ses,trop_court
21594,kléjé,gringalet,trop_court
21594,klέjέ,gringalet,trop_court
21596,fí nàhún a go sín,d'où viens,trop_court
21597,ylɔ̆,nommer,trop_court
21597,ylɔ́ ɖɔ̀,nommer,trop_court
21605,"Mɛ e nɔ ɖɔ̀ mɛ nù ɔ, e nɔ ylɔ́ ɛ́ ɖɔ̀ : ""àɖɔ̀mɛnú""","""àɖɔ̀mɛnú""",trop_court
21609,éɖo tchin,c'est cool,trop_court
21611,vodúngbe gblamὲ,semaine,trop_court
21613,fí ɖĕvo,autre part,trop_court
21627,mɛjitɔ lɛ,les parents,trop_court
21639,"Sunhweɖíɖí, sunhwleɖíɖí",Lune très brillante,trop_court
21642,Hεn bu,Perdre,trop_court
21644,akɔ ce,ma famille,trop_court
21650,Gbɔjɛ ganji.,Reposez-vous suffisamment.,trop_court
21653,hwla,est caché,trop_court
21654,anyugló,sac en cuir,trop_court
21654,anyukpó,sac en cuir,trop_court
21654,glŏ,sac en cuir,trop_court
21655,alladavi jiji,originaire dallada,trop_court
21658,Yúgwíì !,"Aïe, aïe aïe !",trop_court
21660,gantɔnjí,régulièrement,trop_court
21660,hăbŭ,régulièrement,trop_court
21660,lyε̆ngbèlyε̆ngbè,régulièrement,trop_court
21664,kún kpetè,jouer de la flûte,trop_court
21664,kùn kwὲ,jouer de la flûte,trop_court
21686,adingbàn,calomnie,trop_court
21686,xókpádómɛnu,calomnie,trop_court
21686,xókpíkpá,calomnie,trop_court
21688,amagbè,incantation,trop_court
21688,bòɖòtɔ́,incantation,trop_court
21688,bògbé,incantation,trop_court
21688,gbesisà,incantation,trop_court
21690,Jɔhɔn ɖaxó ɖé ja ajijimɛ,Orage soudain,trop_court
21693,ná gɔ̀n,je m'abstiendrai de,trop_court
21694,mɛ̆ nɔ te kpɔ́n w'a ɖè,qui attends-tu,trop_court
21696,fέn tέ,se démettre la hanche,trop_court
21700,jŏ,vomir,trop_court
21700,slú,vomir,trop_court
21700,vì,vomir,trop_court
21704,jɔ̀ sín,être issu de,trop_court
21711,nu tɛ ɖo mi wa wɛ,qu'est,trop_court
21715,mítɔn,nos,trop_court
21718,hwὲ,marque,trop_court
21718,wŭntùn,marque,trop_court
21723,adù,boue,trop_court
21723,adùn,boue,trop_court
21723,baà,boue,trop_court
21739,Azwi lan ɖe,Il y a de la viande de lapin (ou lièvre),definition
21742,fɔ́n xwè tè,relever,trop_court
21742,sɔ́ sí tè,relever,trop_court
21742,sɛ̀ dŏ agà,relever,trop_court
21742,sɛ̀ xwè tè,relever,trop_court
21761,Ké !,Ah !,trop_court
21771,sin nunu,action de boire de l’eau,trop_court
21773,wɛn alɔ,casser le bras,trop_court
21776,"Hwenɛ́nu ɔ́, axɔ́sú Akázi sɛ́ mɛ dó Asilíi xɔ́sú ɔ́, ɖɔ é ní wá gɔ́ alɔ nú émí.",28.16,artefact
21781,wùtú cé lí,mon corps porte en relief la trace de piqûres d'insectes,definition
21784,ajɔ̀ ná ɖi sà,la marchandise s'écoulera en guise de merci pour le supplément,definition
21801,Ðǒtó ganji.,Écoutez attentivement.,trop_court
21805,Xo alɔ,Frapper des mains.,trop_court
21822,fán hweví,écailler du poisson,trop_court
21824,gbε̆ măwŭ'lixò,apostasier,trop_court
21827,kée,ah,trop_court
21829,bă,badine,trop_court
21829,bàví,badine,trop_court
21829,bàvú,badine,trop_court
21837,kpé ká,la pleine lune,trop_court
21838,é ɖé ɖèkpó nú wé à,t'a,trop_court
21839,mi yí wan n'í,vous l'aimez,trop_court
21840,Huzu nǔsatɔ́.,Devenez revendeur.,trop_court
21842,wùsyɛ́nkánmɛ̀,réconfort,trop_court
21842,wùsyɛ́nwúmɛ̀,réconfort,trop_court
21854,Ayi kpɛn .,Cœur lourd,trop_court
21859,hudo alɔdó tɔn.,oin d'aide.,trop_court
21862,Nyǐkɔ ce wɛ nyí...,Je m'appelle...,trop_court
21863,kanɖe atɔn,43,artefact
21878,togán,chef de village,trop_court
21878,tòxɔ́sú,chef de village,trop_court
21884,mɛ̀,donc,trop_court
21886,E na blo,Il fera.,trop_court
21894,Zìnflú dó,Il fait noir.,trop_court
21898,hunfínfɔ́n,cérémonie vaudoun,trop_court
21898,hunfúnfɔ́n,cérémonie vaudoun,trop_court
21901,alɔ gɔ mitɔ́n,votre aide,trop_court
21921,"Tɔ́xɔ́lú, tɔ̀xɔ́sú",Roi des eaux,trop_court
21922,Kpodo awajijε kpo,Gaiement,trop_court
21928,àliyánmí,mâchefer,trop_court
21928,ayamí,mâchefer,trop_court
21929,ajotɔ,voleur,trop_court
21934,mi xwé,vous allez au,trop_court
21945,dlɔ̆n dŏ,accourir vers,trop_court
21961,alɔmawlíví,enfant illégitime,trop_court
21970,na yi,va partir,trop_court
21972,ahŭn jà,il y a de la rosée,trop_court
21974,Zozo ɖo hihɛn mi wɛ,J’ai chaud.,trop_court
21979,Ɖibla yi,Vers.,trop_court
21985,e na ce nu we e blo mɔ,merci salut,trop_court
21986,cέ aziín,décortiquer les arachides en laissant les coques mélangées aux graines quand on ne les sème pas tout de suite,trop_court
21989,Un se xó towe,C'est entendu.,trop_court
21993,asi tɔn sin mɛ lɛ ɖɔ mi na gba goxɔ n'ɛ dandan,ses beaux,trop_court
21999,fitε a na yi ɖe,où vas,trop_court
22012,nă,livrer,trop_court
22012,sɔ́ ná,livrer,trop_court
22014,Asi ce,Ma femme.,trop_court
22015,A bĭ ɖĕbǔ ă,Es-tu un homme sans valeur ? - Tu n’es pas du tout malin.,definition
22020,"Tɛn mímɛ́ e ɖo to ɔ́ mɛ lɛ́ɛ ɖo fínɛ́, có Asa sín ayi bǐ nɔ Mawu Mavɔmavɔ jí, ɖo gbɛzán tɔn bǐ mɛ.",15.17,artefact
22037,Nǔ e è na tuùn bo na nɔte é.,Savoir attendre.,trop_court
22041,húhwɛ́ hwiɖéé,tranquillise,trop_court
22043,"Nyìjíjɛ̀, nyìɖónúmɛ, nyìsáylɔ́mɛ",Surnom,trop_court
22046,Mi na kpe,Se rencontrer,trop_court
22051,Nŭ baɖabaɖa wɛ̀,C'est terrible.,trop_court
22052,e kpò,encore,trop_court
22055,avɔtɔkεkέ,machine à coudre,trop_court
22055,avɔtɔmɔ̀,machine à coudre,trop_court
22055,nùtɔ́mɔ̀,machine à coudre,trop_court
22055,wèmàwlánmɔ̀,machine à coudre,trop_court
22058,atínfló,écorce,trop_court
22058,fló,écorce,trop_court
22061,asu towé,ton mari,trop_court
22067,étɛ́ ká ɖò tó tówé hwɛ́n wɛ̀,qu'est,trop_court
22071,zìngídí flá'yĭ,il y a trop de vacarme,trop_court
22076,singbamɛ,innondation,trop_court
22077,fúnfún nùkún,semer du grain à la volée,trop_court
22088,yεyέ ɖà,les tout premiers cheveux d'un bébé,trop_court
22088,sέ ɖà,les tout premiers cheveux d'un bébé,trop_court
22103,dó gan mὲ,à l'heure,trop_court
22104,Mi ná alì,Ecartez-vous.,trop_court
22107,sɛ̀ sín fínɛ́,écarte,trop_court
22108,si mε,sois sage,trop_court
22111,súnnúkɔ́nyì,grand pagne des hommes,trop_court
22111,kɔcyɔ́n,grand pagne des hommes,trop_court
22112,ɖŏ fí bĭ,partout,trop_court
22112,fí bĭ,partout,trop_court
22112,gbèɖànúgbeɖanú,partout,trop_court
22112,gbejígbejí,partout,trop_court
22112,ká mε go mὲ,partout,trop_court
22112,kpé tó,partout,trop_court
22112,kpétó,partout,trop_court
22118,atakún,poivre,trop_court
22120,azɔ mɛ nɔ hun hun,l'école ouvre,trop_court
22124,kpɔn sukpɔ,regarde la mouche,trop_court
22128,kpò zɔ̀n,ne pas pouvoir marcher vite,trop_court
22130,miɖo,avez,trop_court
22136,ɖè fló,écorcer,trop_court
22136,ɖè fló ná,écorcer,trop_court
22136,kpà fló,écorcer,trop_court
22138,nɔ klakla n'í,surveille-le,trop_court
22154,Gle kpikpo,Un champ stérile,trop_court
22155,keze ɔ,la journée,trop_court
22165,Mɛ̀ !,Tu sais !,trop_court
22168,Mi wlan alɔ dó fí.,Signe ici.,trop_court
22173,Nyε wε,C'est moi,trop_court
22176,fitɛ mi nɔ ɖu gbɔjɛ mitɔn ɖe xwe ɖokpo ɖokpo mɛ,où est,trop_court
22177,"Mɛ e ɖo glɔ̌ tɔn, ɖo vɔ̌sánú-xwlémawutɔ́ lɛ́ɛ sín toxo lɛ́ɛ mɛ, bó nɔ́ má nǔɖuɖu nú nɔví yětɔn lɛ́ɛ, yɔkpɔ́vú kpó mɛxó kpó, gbɔn gbɛ̌ta yětɔn yětɔn mɛ lɛ́ɛ ɖíe: Edɛ́ni, Mɛyamini, Yecúwa, Cemayahu, Amaliyahu kpódó Cekaniyahu kpó.",31.15,artefact
22207,ayi xomɛnyinyɔnɔ,une âme loyale,trop_court
22216,sudidó,interdit religieux,trop_court
22216,sududó,interdit religieux,trop_court
22223,sɔ́ ɖó avɔ jí,mets,trop_court
22226,biɔwuiɖémεn,ressaisis-toi,trop_court
22248,wă ɖìɖ'ɛ́,viens l'aider à mettre son fardeau sur la tête,trop_court
22252,xwè lĭvì,un très grand nombre d'années,trop_court
22255,akasá,pâte de maïs fermenté,trop_court
22260,yovozɛn lɛ,les oranges,trop_court
22262,kplé ká,faire la cérémonie familiale où l'on mange ensemble,trop_court
22270,e vɔ̀,c'est fini,trop_court
22277,nyì akodokwín,échanger des coups de poing,trop_court
22281,nukunflo,paupières,trop_court
22282,Un kpa dó wè,Je te mets au défit de dire (p. Ex. Dans quelle main j’ai caché l’objet).,definition
22288,Ɖebu a,Pas du tout,trop_court
22291,nù gbo,vérité,trop_court
22296,aɖùsó,molaire,trop_court
22304,Ye yi wan nu mi,Ils m’aiment,trop_court
22310,éɖabɔ,à bientôt,trop_court
22311,Nɔ xwe sɔ̀,Sois patient.,trop_court
22326,so ny'àwăn,le tonnerre a éclaté,trop_court
22334,y,ě,trop_court
22354,É da tú làn,Il a tiré un coup de fusil sur du gibier.,definition
22361,un sii tuun nyi towe a,puis,trop_court
22364,a na nu sin kpεɖe à,est,trop_court
22365,xwé gúdó,l'arrière de la maison,trop_court
22379,flé azìn,faire éclore,trop_court
22381,Àànyĭ !,Interjection marquant la surprise amusée.,trop_court
22384,nɛ gbɔn yi,pourquoi est,trop_court
22389,mítɔn,notre,trop_court
22399,xwlé sin ì,présente,trop_court
22411,mɛ wɛ kpɔn,qui est,trop_court
22419,nu tɛ a ɖu,qu'as-tu mangé,trop_court
22422,Atin ɖagbe,Un bel arbre,trop_court
22433,Xwlɛ atin,Raboter du bois.,trop_court
22435,kánkánsìn,régime de palme dont on a enlevé les amandes,trop_court
