fon|fr|sentiment_final
É yí wǎn n’i tlolo hwenu e é mɔ ɛ é.|Il a eu un coup de foudre en la voyant.|2
Un mɔ̀ akwɛ́ ă|Je n’ai pas d’argent.|1
É hwe bǐ ɔ, a ɖó na dɔ́ amlɔ nú ganxixo tɛnwe ɖò zǎn ɖokpo mɛ.|Il faut dormir au moins sept heures par nuit.|2
cɔ́ hwiɖéé dó d'ásá ali ɔ́|sois prudent en traversant la route|2
Xógbe klewun klewun 30 e kúnkplá nǔnywɛ kpo aca kpo lɛ é ɖíe:|ici 30 phrases très courtes sur la sagesse et la culture :|2
daagbo vo ɖo ayi mɛ mi na xwe do nukplɔn mɛ towe lɛ|grand-père sois tranquille nous suivrons tes conseils|2
Un yí azɔ̀ví yɔ̀yɔ́|J'ai engagé un nouvel apprenti.|0
un hɛn ɔ na mɔ azɔ ɖagbe|je pourrais obtenir un meilleur travail|2
Zozo ɖo ɖiɖi mi wε.|’ai de la fièvre.|1
Un ná bló bɔ è nǎ tɔ́n ahwan mi, bó ná dó ba hlɔn, ɖó akɔjijɛ ce e mi hɛn gba ɔ́ wú. Mi na bo hɔn yi cí toxo mitɔn e ahohó lɛ́ lɛ̌ dó lɛ́ɛ mɛ ɔ́, un ná nɔ́ sɛ́ jɛmɛjí dó tɛ́ntin mitɔn, bɔ kɛntɔ́ mitɔn lɛ́ɛ ná kpé mi wú.|Je ferai venir contre vous l'épée, qui vengera mon alliance; quand vous vous rassemblerez dans vos villes, j'enverrai la peste au milieu de vous, et vous serez livrés aux mains de l'ennemi.|1
Un ko ná gbe ɖɔ è nǐ ba do nú xó e mi ɖɔ ɔ́, bɔ é ba do ná bó mɔ ɖɔ nǔgbó ɔ́, sín xóxó hwenu ɔ́, Jeluzalɛ́munu lɛ́ɛ nɔ sí te dó axɔ́sú lɛ́ɛ jí, bó nɔ dɔn hunnyahunnya kpó gǔfínfɔ́n kpó dó to ɔ́ mɛ.|J'ai donné ordre de faire des recherches ; et l'on a trouvé que dès les temps anciens cette ville s'est soulevée contre les rois, et qu'on s'y est livré à la sédition et à la révolte.|1
Kan vɔ wε un ka wa xo|Je me suis donc donné de la peine pour rien|1
Un ɖo mɛkplɔnmɛtɔ privé ba wɛ bo na do alɔ nu vi ce nyɔnu ɔ ɖo nujlɛdonuwu mɛ ɖo xwe gudo tɔn mɛ ɖo wemaxɔmɛ linsinmɛ tɔn (Terminal S niveau).|Je cherche un professeur particulier pour aider ma fille en mathématiques niveau terminale S.|0
un ɖo gbegamɛ|je suis à gbégamey|0
É xlɛ́ ɛ Nɛgɛ́vu, ɖo Judáa tofɔligbé kpó Jeliko děkan toxo ɔ́ kpó, ɖo Judɛ́ɛn tɔdo ɔ́ mɛ káká wá Sowáa.|le midi, les environs du Jourdain, la vallée de Jéricho, la ville des palmiers, jusqu'à Tsoar.|0
e ɖo gudo|il est derrière|0
Jedenyɔ́ɔ kpó mɛ tɔn afɔɖé kanwe ko (300) lɛ́ɛ kpó wá jɛ Judɛ́ɛn tɔ ɔ́ tó, bó dó asá tɔ ɔ́. Nǔ cikɔ nú yě có, yě ɖo kɛntɔ́ yětɔn lɛ́ɛ gúdo.|Gédéon arriva au Jourdain, et il le passa, lui et les trois cents hommes qui étaient avec lui, fatigués, mais poursuivant toujours.|0
a mɔ mɛ lɛ nɔ su kpɔ.|tu trouves beaucoup de gens.|0
ɖɔla ɖokpo|cinq francs un dollar|0
kɛkɛ sunsunsunsun ɔ nɔ kɔn|la bicyclette nettoyée brille|0
Akɔ afɔtɔn-nukún-atɔngɔ́ ɔ́ sɔ́ Hanáni. É kpó vǐ tɔn súnnu lɛ́ɛ kpó nɔví tɔn súnnu lɛ́ɛ kpó bló wěwe.|le dix-huitième, à Hanani, ses fils et ses frères, douze ;|0
un wá gɔ́n towe|je suis venu chez toi|0
É ná nyibú we, agbo atɔ́ɔ́n, gbǎgbá atɔ́ɔ́n, lɛ̌ngbɔ́ví e ɖó xwe ɖokpó ɔ́ atɔ́ɔ́n; è nǎ bɛ́ kanlin énɛ́ lɛ́ɛ dó sá kɔnɖókpɔ́ vɔ́ ná. Nǔ e Axila, Eyináni ví ɔ́ ná lɛ́ɛ nɛ́.|et, pour le sacrifice d'actions de grâces, deux boeufs, cinq béliers, cinq boucs, cinq agneaux d'un an. Telle fut l'offrande d'Ahira, fils d'Énan.|0
Elíi yi dó wɛn ɔ́ Akábu, bɔ Akábu ɖɔ n'i ɖɔ: “Kɛntɔ́ ce, a kpo ɖo gǔdo ce” Bɔ Elíi yí gbe n'i ɖɔ: “Ɛɛn! Un kpo ɖo gǔdo towe! Nǔ e má nyɔ́ Mawu Mavɔmavɔ nukún mɛ ǎ é wiwa wɛ nɔ víví nú we; énɛ́ wútu ɔ́,|Achab dit à Élie : M'as-tu trouvé, mon ennemi? Et il répondit : Je  t'ai trouvé, parce que tu t'es vendu pour faire ce qui est mal aux yeux de l’Eternel.|1
kpo ɖ'e jí wɛ̀|c'est en trop|0
Axɔ́súɖuto Ɔgu tɔn lɔ ɖ'é mɛ. Ɔgu ɔ́, Hlafa ví gǔdo gúdo tɔn e kpo lɛ́ɛ ɖě wɛ, bó ɖu axɔ́sú ɖo Acitalɔ́ti kpó Edlɛyi kpó; toxo énɛ́ lɛ́ɛ ɖo Basáni. Mɔyízi ko ɖu ɖo to énɛ́ lɛ́ɛ sín axɔ́sú lɛ́ɛ jí, bó kó yí to yětɔn lɛ́ɛ.|tout le royaume d'Og en Basan, qui régnait à Aschtaroth et à Édréï, et qui était le seul reste des Rephaïm. Moïse battit ces rois, et les chassa.|2
Wĕweyiwĕyìi !|Nous voici !|0
Toxo e mɛ Nimulodi ɖu axɔ́sú ɖe jɛ nukɔn lɛ́ɛ wɛ nyí: Babɛ́li, Elɛ́ki, Akadi kpó Kalunɛ́ɛ kpó ɖo Mɛzopotamíi yíkúngban jí.|Il régna d'abord sur Babel, Érec, Accad et Calné, au pays de Schinear.|0
Yă wŭ ɖi zɔnlìn|Allonge le pas.|0
un nɔ w'àzɔ̀ ɖò gan tántɔn mɛ̀|je travaille à huit heures|0
Gbɛtɔ́ dĕgba xwédó è|Un grand nombre d’hommes le suivait.|0
Cupimu kpó Hosa kpó wɛ akɔ e è nyi ɔ́ sɔ́ bɔ yě ná cɔ́ hɔn e ɖo gbadahwe jí ɔ́, kpódó hɔn Calɛ́kɛ́ti tɔn kpó; hɔn énɛ́ wɛ è nɔ hun dó ali e è nɔ gbɔn yi kpó jí ɖo toxo ɔ́ mɛ é.|Le côté de l'occident échut à Schuppim et à Hosa, avec la porte Schalléketh, sur le chemin montant : une garde était vis-à-vis de l'autre.|0
jὲ tagbà nú nŭ|s'inquiéter de quelque chose|0
Énɛ́ ɔ́ gúdo ɔ́, Mawu Mavɔmavɔ ɖɔ nú nyɔ̌nu ɔ́ ɖɔ: “Un ná bló bɔ a mɔ xo ɔ́, a nǎ nɔ́ mɔ wǔvɛ́ ɖésú; a yi ajidonu ɔ́, a nǎ mɔ wǔvɛ́; asú towe ná nɔ́ jló we, éyɛ́ ká ná ɖu gǎn ɖo jǐ towe.”|Il dit à la femme: J'augmenterai la souffrance de tes grossesses, tu enfanteras avec douleur, et tes désirs se porteront vers ton mari, mais il dominera sur toi.|1
Zozo e nɔ hɛn mɛ gló é|Chaleur étouffante|0
fεli - lefè - wulà - yaɖabu - agandán - ajătè - gbàn - wlă|variété d’igname|0
Zùn ɖaxó ɖaxó e ɖò ablu mɛ é.|Forêt dense et sombre.|0
Fí jɛ́n un nɔ nɔ̀|Je reste ici même.|0
É víví nú mì tawun ɖɔ un wá mɔ we!|Ravi de vous rencontrer enfin !|2
etε wutu wε a yi wan nu ahan mɔ|pourquoi aimes-tu boire|0
etɛ wutu a ɖo zɔnlin ɖi wɛ|pourquoi marches|0
Un ɖù ɖò jĭ tɔ̀n|Je l’ai battu.|1
mitɔn wɛ nyi mɔto enɛ ɔ a|c'est à vous cette voiture|0
Azɔn énɛ́ ɔ́ wɛ zɔ́n bɔ é húzú mɛ blíblí. Sin ɖo súnnuxwé tɔn gosín wɛ kpó é glɔ́n cí mɛ kpó ɔ́, mɛ blíblí wɛ é nyí.|C'est à cause de sa gonorrhée qu'il est impur: que sa chair laisse couler son flux, ou qu'elle le retienne, il est impur.|1
Mawu Mavɔmavɔ, ma jó mì dó ó; Mawu ce, ma nɔ zɔ nú mì ó.|Ne m'abandonne pas, Éternel ! Mon Dieu, ne t'éloigne pas de moi !|1
Ani wú mì ɖò nŭ masɔgbe lin wɛ̀ ɖò ayi mitɔn mɛ̀ ?|Pourquoi pensez-vous des choses injustes dans votre coeur ?|0
É vɛ́ n’í|Cela lui fit mal.|1
Xɛsi ɖaxó ɖé xò kɔ́mɛ nú mì hwenu e un sè afɔ enɛ lɛ ɖò gudo ce ɖò ali e jí mɛɖé ma ɖè ǎ é jí é.|Un frisson d’effroi a parcouru mon échine quand j’ai entendu ces pas derrière moi dans la ruelle déserte.|1
Yĕ dà hŭn|Ils ont invité un tam-tam.|0
Lĕe a ɖɔ̀ gbɔ̀n a ní nyí mɔ̌|Qu’il en soit comme tu as dit.|0
E bà hă mì|Il m'a manqué de respect.|1
jimi ɖo xomɛ sinsin ji huston ba na ze e jijɔn ayi bo ba ɖɔ xo tɔn tɛ|jimmy est énervé mr huston veut le faire asseoir et le faire taire|1
Xó ɔ́ ɖó adohuhu|Cette parole cause l'effroi.|1
Etɛ wutu ?|Pourquoi non ?|0
Mɔyízi ka nyí mɛɖé, bó nɔ́ sɔ́ éɖée hwe ɖésú; é nɔ́ sɔ́ éɖée hwe hú gbɛtɔ́ e ɖo ayǐkúngban jí lɛ́ɛ bǐ.|Et l'Éternel l'entendit. Or, Moïse était un homme fort patient, plus qu'aucun homme sur la face de la terre.|2
kanwe wewe|92|0
Ée yě ɖu nǔ bó nu sin fó ɖo Silóo fínɛ́ ɔ́, Ana sí te, bó yi Mawu Mavɔmavɔ xwé ɔ́ sín hɔntogbó jí. Eli vɔ̌sánú-xwlémawutɔ́ ɔ́ ká ɖo ayǐjínjɔ́n ɖo hɔnkpo ɔ́ kpá.|Anne se leva, après que l'on eut mangé et bu à Silo. Le sacrificateur Éli était assis sur un siège, près de l'un des poteaux du temple de l'Éternel.|0
un sú axɔ́ cé kpò|j'ai payé une partie de ma dette|0
A sixu ɖɔ lee un na gosin kɔ́xota elɔ bo na yì wemaxɔ toxo ɔ tɔn mɛ gbɔn é nú mì à?|Pourriez-vous m'indiquer le chemin pour rejoindre la bibliothèque municipale depuis cette place ?|0
Gán tɛ́nwe mɛ̀|A sept heures.|0
Nulinlin ɖagbe wɛ, Jim|Bonne idée, Jim.|2
dŏ gàn dó azɔ̀ tówé wú|applique-toi bien à ton travail|0
é ɖ'avi yá wɛ̀ hehè|il pleure sans cesse|1
tófí wɛ̀|c'est tout près|0
Xɔ ɔ hɔn yi do tɔn|L’agouti se sauve vers son terrier.|0
Wu ya nya elɔ|Cet homme est actif|0
Kple ɖe, e kpe wu bo wa a|Il avait une réunion, il n'a donc pas pu venir .|1
wulɛkpa|salle de bain|0
é kàn fá bo mɔ̀ kú nú mì|il a consulté et a trouvé de mauvaises choses pour moi|1
Hɛ̌nnugán akɔta ɖokpó ɖokpó tɔn ná dó alɔ mi.|Il y aura avec vous un homme par tribu, chef de la maison de ses pères.|0
Mǐ ɖò ɖiɖɔ nú we wɛ ɖɔ è ko sɛ́ nǔ e a sɛ́dó é dó.|Nous vous informons de l'expédition de votre commande.|0
Bo na dó ɖu vivǐ tɛn e mɛ é jɛxa ɖè é tɔn ɔ, mǐ bló tuto nú nǔjiwǔ kpɛví ɖé ɖò azɔ̌xɔsa ɔ ɖò Vɔsanúxwlémawutɔ́zɔ́ ɔ hwenu ɖò hwemɛ nùɖuɖu hwenu.|Pour célébrer sa promotion tant méritée, nous avons organisé une petite surprise au bureau vendredi midi.|2
yĕ xò así nu mi|ils vous ont acclamé|2
un na ɖɔ nu ɖɔ xo enε ɔ go gbigba wε blo|je suis convaincu que ce bâtiment est en verre|0
Nuɖatɔ na wa sɔ|Mon cuisinier viendra demain.|0
mɛsi ɔ nɔ kplɔn mi yɛhwexixa mawusɛn lɛ nuxixa nuwlanwlan akɔntabiblo kpo hanjiji kpo|l'instituteur nous enseigne la prière le catéchisme la lecture l'écriture le calcul et le chant|0
Bo awu tɔn lɛ ɖo nyla kan d'e ji wɛ|Et ses chemises sont de plus en plus laides.|1
Mawu Mavɔmavɔ, mɛsɛntɔ́ towe wɛ mǐ nyǐ, bó nyí togun towe. Mǐdɛɛ lɛ́ɛ wɛ a sɔ́ hlɔ̌nhlɔ́n towe dó hwlɛ́n gán, bó sɔ́ alɔ towe hlɔ̌nhlɔ́nnɔ ɔ́ dó hwlɛ́n gán.|Ils sont tes serviteurs et ton peuple, que tu as rachetés par ta grande puissance et par ta main forte.|2
Ahwangɔnu Davídi tɔn jɛ ali bo ɖidó ahwan fun xá Abusalɔ́mu sín sɔ́ja lɛ́ɛ gbé. Yě fun ahwan ɔ́ ɖo Eflayímu sín zungbó mɛ.|Le peuple sortit dans les champs à la rencontre d'Israël, et la bataille eut lieu dans la forêt d'Éphraïm.|0
agbadénɔ̀ - gbadénɔ̀|vendeuse de maïs|0
Caki ɖokpo|Mille francs (un sac (de cauris))|0
alɔnu mε̆ ă - alɔnu mε̆ sìn ă - alɔnu nyɔ̆ ă|faire du mauvais travail|1
Han towe ní nɔ́ ɖo nu ce tɛgbɛ; susu kpa nú we sín han ní nɔ́ ɖo nu ce; lě e a d'agba sɔ é sín han ní ɖo nu ce ayǐhɔ́ngbe ayǐhɔ́ngbe.|Que ma bouche soit remplie de tes louanges, Que chaque jour elle te glorifie !|2
Yè nɔ̀ tún atán dó nukúnmɛ n’í|Ils lui crachaient au visage.|1
Đè agban ɔ sín|Enlève le bagage.|0
Nukúnmɛ gbéjé kpɔ́n hwɛhwɛ nɔ zɔ́n bɔ glaucome kpo maculaire degénération kpo nɔ yì nukɔn ɖò xó ɖé mɛ ǎ.|Les examens ophtalmologiques réguliers préviennent la progression silencieuse du glaucome et de la dégénérescence maculaire.|0
Ye ɖo na hɛn jiwu|Ils doivent apporter un parapluie.|0
Fɔnlínnɔ nɔ́ sí avuvɔ bó nɔ́ gɔn gle lɛ, é ká su nǔkún-yiya hwenu ɔ́, é nɔ́ ba ná ya nǔkún; é ká nɔ́ mɔ nǔɖé ǎ.|A cause du froid, le paresseux ne laboure pas ; à la moisson il demandera, mais il n’y aura rien.|1
yèɖé nùsúnnú ɔ́|ajoute des ingrédients dans la sauce|0
awù|habit|0
Nyibú adɔ̌kpo ɖě děgba ɛnɛ (36.000) bɔ è ɖe kanɖé gban-nukún-we (72) sín mɛ nú Mawu Mavɔmavɔ.|trente-six mille boeufs, dont soixante-douze pour le tribut à l'Éternel ;|0
É ɖò wɛn.|Peu importe.|0
É tá n’í|Il lui a appliqué de la poudre.|0
Hwenu è éyɛ́ ná wá é ɔ́, é ná wá ɖè nŭ bì xlɛ́ mĭ|Quand il viendra, il nous expliquera tout.|0
xò wuntà|ne pas être satisfait|1
Amɔ̌, ɖo mɛ e hɔn ɖidó gbětótló mɛ lɛ́ɛ mɛ ɔ́, gbɛtɔ́ nǔwɔntɔn (600) gán ɖo yě mɛ, bó wá awǐnnya Hlimumɔ́ni tɔn jí, bó nɔ fínɛ́ nú sun ɛnɛ.|Six cents hommes, qui avaient tourné le dos et qui s'étaient enfuis vers le désert au rocher de Rimmon, demeurèrent là pendant quatre mois.|0
E jó éɖé n'í|Il se confia à lui.|0
Nɔnɔ nunamεtɔ ɔ ɖo hwenuxo ɖagbe lε ɖɔ wε.|La gentille grand-mère dit des contes merveilleux|2
Hwesivɔ e ɖò bǎ ɖé mɛ é nɔ wà ɖagbe nú vitamine D e ɖò taji nú xú e syɛn lɛ é sín ɖiɖó.|L'exposition modérée au soleil est bénéfique pour la synthèse de la vitamine D, essentielle pour la solidité des os.|2
xwe ɔ nyɔ ɖɛkpɛ|la maison est belle|2
e ɖo hwenuxo ɖɔ nu ye wɛ|il lui conte une histoire|0
awòví tɛ́n mí kpɔ́n|le diable m'a tenté|1
Énɛ́ ɔ́, gbɛtɔ́ ɔ́ ɖó nyǐkɔ nú kanlin xwé gbe tɔn lɛ́ɛ bǐ, bó ɖó nú gběkanlin lɛ́ɛ bǐ, lobo ɖó nú xɛ lɛ́ɛ bǐ. Lo ɔ́, é mɔ mɛ e ná jɛ xá ɛ, bó ná gɔ́ alɔ n'i ɔ́ ǎ.|Et l'homme donna des noms à tout le bétail, aux oiseaux du ciel et à tous les animaux des champs; mais, pour l'homme, il ne trouva point d'aide semblable à lui.|0
Etɛ nu wɛ Kofi ɖe ?|Qu'est-ce que Kofi est en train de boire ?|0
Ao! Enɛ nɔ vɛ́ nú mì.|Aie ! J’ai mal.|1
É ná hɛn sɛ́nwéma ɔ́, bó ná nɔ́ xa hwebǐnu ɖo gbɛzán tɔn bǐ mɛ. Énɛ́ wɛ ná zɔ́n bɔ é ná sixú ɖó sísí nú Mawu Mavɔmavɔ, Mawu mitɔn, bó ná kpé nukún dó sɛ́n lɛ́ɛ kpódó gbetakɛ́n lɛ́ɛ kpó wú, bó ná nyi bǐ.|Il devra l'avoir avec lui et y lire tous les jours de sa vie, afin qu'il apprenne à craindre l'Éternel, son Dieu, à observer et à mettre en pratique toutes les paroles de cette loi et toutes ces ordonnances ;|0
Túntún kan ɔ́ kpɛɖé kpò|Desserre un peu la corde.|0
Un ɖo akɔnta lɛ kpɔn wɛ|Je vérifie le total des additions.|0
Gbeta taji hugǎn e kɔn azɔnunutɔ́ ɖé sixu wá bo na dó bló bɔ gbɛzán tɔn na nyɔ́ hugǎn é wɛ nyí ɖɔ é ni jó azɔ nunu dó.|Le sevrage tabagique est la décision la plus importante qu'un fumeur puisse prendre pour améliorer sa qualité de vie.|2
Sɛ́mu ví lɛ́ɛ sín nyǐkɔ ɖíe: ée tɔ gba gbɛ ɔ́ bɔ é ɖó xwe we ɔ́, Sɛ́mu ji Aapakisadu. Xwe kanwe ko (100) ɖó wɛ é ɖe hwenɛ́nu.|Voici la postérité de Sem. Sem, âgé de cent ans, engendra Arpacschad, deux ans après le déluge.|0
é gbɔ́jɛ́ d'álɔ tè|il a fini de se reposer|0
Blò énɛ́ ɔ́ vɔ́vɔ́|Fais au moins cela.|0
ɖì bè|s'épanouir|0
goxɔ|une hutte|0
Din ɔ́, nú a sú togun towe sín kún dó vawun mɔ̌ ɔ́, akɔta e ko se nǔ e a wa nɛ́ lɛ́ɛ ná ɖɔ:|Si tu fais mourir ce peuple comme un seul homme, les nations qui ont entendu parler de toi diront:|1
Cɔ́ hwiɖéé dó d'ásá ali ɔ́|Méfie-toi pour traverser la route.|0
aluunsun ɖo azan gban nukun ɖokpo|janvier a 31 jours|0
Galadi ví súnnu lɛ́ɛ sín nyǐkɔ ɖíe: Iezɛ́ɛ kpó vǐ tɔn lɛ́ɛ kpó, Helɛ́ki kpó vǐ tɔn lɛ́ɛ kpó,|Voici les fils de Galaad : Jézer, de qui descend la famille des Jézerites ; Hélek, la famille des Hélekites ;|0
Nya xwe Fa yi gbe bo yi zin bokɔnɔ tɔn dɛ. E ɖɔ|"""Fa yiyi nu wa jɛn a ɖe nɛ"""|0
Enyi è nɔ má nǔnywɛ ɔ jɛn é na xɔ akwɛ.|Le savoir n'a de valeur que s'il est partagé.|2
dà ahwàn|rassembler des troupes|0
Lanmɛ ce jújɔ́|Je suis faible.|1
Azɔ̀ è wa ɔ́ xwètɛ́ ă|Le travail que tu as fait n’est pas bien.|1
Nǔɖé bo na wà ǎ.|Rien à faire.|0
Akábu sín hɛ̌nnumɔ lɛ́ɛ bǐ wɛ ná kú. Un ná hu mɛ tɔn lɛ́ɛ bǐ, un ná hu yɔkpɔ́vú kpó mɛxó kpó.|Toute la maison d'Achab périra; j'exterminerai quiconque appartient à Achab, celui qui est esclave et celui qui est libre en Israël,|1
Mǐ nɔ ɖexlɛ́ ɖɔ nǔ e è sɛ́dó lɛ é ɖò finɛ.|Nous vous confirmons la disponibilité des articles commandés.|0
Sɔ́ja lɛ́ɛ se ɖɔ Zimuli blá axɔ́sú ɔ́ sín gbě, bó ko hu i. Ée yě se mɔ̌ tlóló ɔ́, yě ɖó gbe kpɔ́, bó sɔ́ ahwangán Ɔmúli axɔ́sú ɖó Izlayɛ́li to ɔ́ nu gbe nɛ́ gbe, ɖo fí e yě ɖǒ gɔnu ɖó é.|Et le peuple qui campait apprit cette nouvelle : Zimri a conspiré, et  même il a tué le roi ! Et ce jour-là, tout Israël établit dans le camp pour roi  d'Israël Omri, chef de l'armée.|0
gbɔ̀ acà kò mε wŭ|faire marcher quelqu'un|0
asi we lo|et ta femme|0
Ma lin ó mɛ̀|Ne tarde pas.|0
din kpodo ku hwenu mitɔn kpan|maintenant et à l'heure de notre mort|0
Nǔnywɛ ɖaxó ɖaxó lɛ nyí nǔ xɔ akwɛ ɖé bɔ mɛ kpɛɖé e ɖó wǔjɔmɛ lɛ é kɛɖɛ wɛ nɔ mɔ ǎ, loɔ, é nyí kɔ́ntu e nɔ zɔ́n bɔ mɛ bǐ nɔ mɔ ali yetɔn ɖò hwinyanhwinyan gbɛ̀ ɔ tɔn mɛ é.|La culture générale n'est pas un luxe réservé à quelques privilégiés, mais la boussole qui permet à chacun de s'orienter dans le chaos du monde.|2
e nyɔ́ nukún tówé mɛ́ à|cela t'intéresse|0
Wema e ɖó tó nú cuku é.|Page cornée.|0
Nɔ hɛn sin.|Hydratez-vous régulièrement.|0
làn nùkúnɖútɔ́|animal granivore|0
Yě lɛ́ yi toxo e è mɛ ahohó lɛ́ lɛ̌ dó ɖo Tíi ɔ́ mɛ, bó gbɔn Hivíti lɛ́ɛ kpó Kanáanu lɛ́ɛ kpó sín toxo lɛ́ɛ bǐ mɛ, bó wá fó dó Bɛ̌-Ceva, ɖo Judáa sín tofɔligbé.|Ils allèrent à la forteresse de Tyr, et dans toutes les villes des Héviens et des Cananéens. Ils terminèrent parle midi de Juda, à Beer Schéba.|0
Bì ná|Est-ce tout ?|0
Ée Balaki mɔ Baláamu ɔ́, é kanbyɔ́ ɛ ɖɔ: “Un sɛ́ wɛn dó we ɖ'ayǐ ɖɔ hwi ní wá gɔ̌n ce a cé? Nɛ̌ ka gbɔn bɔ a ma wá ǎ? Hǔn a tunwun ɖɔ un kpé wú bó ná wlí yɛ̌yi nú we a cé?”|Balak dit à Balaam : N'ai-je pas envoyé auprès de toi pour t'appeler? Pourquoi n'es-tu pas venu versmoi ? Ne puis-je donc pas te traiter avec honneur ?|0
Đa tɔn jò|Ses cheveux sont clairsemés.|0
E kpé ă|C'est insuffisant.|1
Εεn, un sa ama ce lε bi.|Oui, j’ai vendu tous mes légumes|2
nu tɛ wutu a ma ylɔ a|pourquoi n'as-tu pas appelé|0
A nǎ zé zǎlínkpɔ́n akú ɖó hǎ ɖokpó ɖokpó jí, bó ná dó zo ɖó wɔ̌xúxú tɛnmɛ, dó kpa susu nú mì, bɔ é ná nyí flǐn ɖé nú nyɛ Mawu Mavɔmavɔ.|Tu mettras de l'encens pur sur chaque pile, et il sera sur le pain comme souvenir, comme une offrande consumée par le feu devant l'Éternel.|0
acívi|cuillère|0
Mɔ̆ un jɔ̀|Je suis comme ça.|0
Jɔhɔn ɖaxó ɔ gbà ajijimɛ ɔ, bo gbà jinukúnsin kpo jǐ ɖaxó ɖé kpo, lobo xò flɛtɛli lɛ zlɛ kpo jǐ ɖaxó e nɔ ja magbokɔ é kpo.|L'orage éclata soudainement, déchirant le ciel de violents éclairs et fouettant les vitres d'une pluie drue et incessante.|1
wa nu ɖagbe|faire une bonne action|2
A ɖo zogbɛn ɖe à ?|Avez-vous du feu, s'il vous plaît ?|0
Ée nǔ nyí mɔ̌ ɔ́, yě sɛ́ wɛn dó Jezabɛ́li ɖɔ: “È ko nyi awǐnnyaglo dó Nabɔti káká bɔ é kú.”|Et ils envoyèrent dire à Jézabel : Naboth a été lapidé, et il est mort.|1
Mǐ ná sɔ́ nǔ bó ná yi Betɛ́li. Un ná mɛ vɔ̌sákpe ɖokpó nú Mawu ɖó fínɛ́. É wɛ yí ɖɛ ce gbe e gbe adǎn gbo mì é. É wɛ nɔ gǔdo ce bɔ un yi tomɛ bó wá.”|Nous nous lèverons, et nous monterons à Béthel; là, je dresserai un autel au Dieu qui m'a exaucé dans le jour de ma détresse, et qui a été avec moi pendant le voyage que j'ai fait.|0
nyɔnu ma wa nuɖe a ɔ asakpaɖa tɔn nɔ xo gan a|quand une femme n'a rien fait de mal ses cuisses ne battent pas la chamade|1
xó nɛ́ ɔ́ gba kpé tó|cette nouvelle s'est répandue partout|0
mɛ ni wa|entrez|0
xovɛ sin we à|as|0
kpó ayi kpó|volontiers|0
nusunnu ɔ bi|la sauce est cuite|0
é kéya n'í keyikà|on a vraiment pris soin de lui|2
Kpɔ́n ɖɔ emi xwedó sɛ́n ali jí tɔn lɛ ganji à jí.|Veillez à bien respecter le code de la route.|0
Midɛɛ lɛ́ɛ wɛ Mawu jǒ Madiáani ví lɛ́ɛ sín axɔ́sú Olɛ́vu kpó Zéɛvu kpó ná. Un wa nǔ ɖěbǔ bɔ è sixú jlɛ́ d'é wú ǎ.” Xósin énɛ́ ɔ́ e Jedenyɔ́ɔ ná ɔ́ fá xomɛ nú Eflayímu sín mɛ lɛ́ɛ. Jedenyɔ́ɔ ɖo Judɛ́ɛn tɔ ɔ́ sín zǎnzǎnhwe jí|C'est entre vos mains que Dieu a livré les chefs de Madian, Oreb et Zeeb. Qu'ai-je donc pu faire en comparaison de vous ? Lorsqu'il eut ainsi parlé, leur colère contre lui s'apaisa.|0
Đo gbε xa mε|Former une association avec quelqu'un|0
de nusunnu ɖie|voici de la sauce de noix de palme|0
Un na nà wunzèn zànvli|Je resterai éveillé la moitié de la nuit.|0
E bló kpɔwun wè|Cela fait cinquante francs.|0
sɛnsatɔ ɔ ɖo azɔwanu tɔn lɛ sunsun wɛ|le peintre nettoie ses pinceaux|0
Ayihunmlimlixotɔ lε ɖo ayunmlimli nyi ɖo yeɖee wε|Les joueurs se lancent la balle.|0
Vi ɖo le|L'enfant procure des bénéfices.|2
din ɔ e nɔ blo nuɖe un ɖɔ n'ɛ ɖɔ n'ɛ blo ɔ|maintenant il fait toujours ce que je lui dis de faire|2
Mi kɛnklɛn bo ko nu nu fɔto ɔ.|Souriez pour la photo, s'il vous plaît.|0
nyibúsú wínnyáwínnyá ɖokpó, agbo ɖokpó, lɛ̌ngbɔ́ví e ɖó xwe ɖokpó ɔ́ ɖokpó. È nǎ bɛ̌ kanlin énɛ́ lɛ́ɛ dó sá vɔ̌ e è nɔ dó zo ɔ́ ná.|un jeune taureau, un bélier, un agneau d'un an, pour l'holocauste;|0
Kan ɔ wíní dín|Le fil est trop fin.|1
Un go sin Agbomɛ|Je viens d'Abomey.|0
E kpo|Il en reste|0
Nǔ e ɖò nǔ enɛ jí é sín hudo zɔ́n bɔ è hɛn akwɛ e è nɔ mɔ é bú tawun, bɔ è ɖó na nyì alɔ na bǐ mlɛ́mlɛ́.|La rupture de stock sur cette référence a causé un manque à gagner significatif qu'il faut absolument éviter.|1
xɛvi kpɛvi ɔ e vivi n'i kaka bo e du nuɖuɖu tɔn bi|le moineau plein de joie mangea tout son saoul|2
etɛ wutu e ɖo xɛsi ɖi wɛ|pourquoi a|0
un ɖò măwŭ gbe xwɛ̀|dieu merci|2
Gbɔnyitɔ ɔ ɖo gbɔ tɔn lε cɔ wε.|Le berger surveille son troupeau|0
agbawungbà - ɖò wèjí - ganaganà|ostensiblement|0
Alăfía ná tíin|Ce sera la paix.|2
Awii mitɔn lɛ|Nos chats.|0
