id,chemin_audio,transcription_fon,duree_sec
dolores_fongbe_corp014_116,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\dolores_fongbe_corp014_116.wav,e nɔ gba gi ɖo mɔ mε,1.84
dolores_fongbe_corp014_117,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\dolores_fongbe_corp014_117.wav,e gban nya nu do mi,1.51
dolores_fongbe_corp014_118,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\dolores_fongbe_corp014_118.wav,e gban ya nu,1.14
dolores_fongbe_corp014_119,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\dolores_fongbe_corp014_119.wav,etε sin nu gban nya wε a ɖe,2.09
dolores_fongbe_corp014_120,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\dolores_fongbe_corp014_120.wav,ye na ku,1.09
dolores_fongbe_corp014_121,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\dolores_fongbe_corp014_121.wav,e ma na ku gε,1.4
dolores_fongbe_corp014_122,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\dolores_fongbe_corp014_122.wav,jinukun ko mya go ɖo gle mε,3.11
dolores_fongbe_corp014_123,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\dolores_fongbe_corp014_123.wav,a ma na blo a e,1.57
dolores_fongbe_corp014_124,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\dolores_fongbe_corp014_124.wav,un nɔ ɖu jε kpodo takin kpan a,3.68
dolores_fongbe_corp014_125,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\dolores_fongbe_corp014_125.wav,e gbigba ayikungban ɔ,1.91
dolores_fongbe_corp014_126,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\dolores_fongbe_corp014_126.wav,bɔ kan nyikɔ ce byɔ,2.46
dolores_fongbe_corp014_127,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\dolores_fongbe_corp014_127.wav,nyikɔ ce nɔ nyi fina,2.23
dolores_fongbe_corp014_128,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\dolores_fongbe_corp014_128.wav,tagba gbelu,1.84
dolores_fongbe_corp014_129,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\dolores_fongbe_corp014_129.wav,eo un sixu blo a,1.84
dolores_fongbe_corp014_130,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\dolores_fongbe_corp014_130.wav,mi na yi a,1.17
dolores_fongbe_corp014_131,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\dolores_fongbe_corp014_131.wav,mama xwe ɔ ni nyi xwesi nu mi bi,2.95
dolores_fongbe_corp014_132,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\dolores_fongbe_corp014_132.wav,e yi fi ti a,1.25
dolores_fongbe_corp015_001,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\dolores_fongbe_corp015_001.wav,glo ɖɔ a ɖe,1.58
dolores_fongbe_corp015_002,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\dolores_fongbe_corp015_002.wav,un gɔn yεhwe zanzan tɔn xa,2.14
dolores_fongbe_corp015_003,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\dolores_fongbe_corp015_003.wav,e ku bɔ e ɖii,1.79
dolores_fongbe_corp015_004,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\dolores_fongbe_corp015_004.wav,e klan gbe xa mi ɖo vivε ji,2.56
dolores_fongbe_corp015_005,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\dolores_fongbe_corp015_005.wav,e ɖɔ a ma wa o,1.59
dolores_fongbe_corp015_006,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\dolores_fongbe_corp015_006.wav,to mitɔn lε nɔ se xo,1.7
dolores_fongbe_corp015_007,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\dolores_fongbe_corp015_007.wav,e gla do tɔ tɔn wu,1.82
dolores_fongbe_corp015_008,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\dolores_fongbe_corp015_008.wav,e gla wa fi a,1.33
dolores_fongbe_corp015_009,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\dolores_fongbe_corp015_009.wav,e gla na kε nu a,1.54
dolores_fongbe_corp015_010,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\dolores_fongbe_corp015_010.wav,e gla do tɔ tɔn wu,1.68
dolores_fongbe_corp015_011,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\dolores_fongbe_corp015_011.wav,hɔn ɔ ɖo nuvo gbaa,1.84
dolores_fongbe_corp015_012,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\dolores_fongbe_corp015_012.wav,gbε ko hun ali ni,1.79
dolores_fongbe_corp015_013,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\dolores_fongbe_corp015_013.wav,e hun hɔn ɔ glaa,1.6
dolores_fongbe_corp015_014,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\dolores_fongbe_corp015_014.wav,e hun hɔn ɔ gblawun,2.04
dolores_fongbe_corp015_015,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\dolores_fongbe_corp015_015.wav,e hun hɔn ɔ kε gblala,2.34
dolores_fongbe_corp015_016,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\dolores_fongbe_corp015_016.wav,e van nukun gbaan,1.78
dolores_fongbe_corp015_017,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\dolores_fongbe_corp015_017.wav,kεkε tɔn gble,1.84
dolores_fongbe_corp015_018,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\dolores_fongbe_corp015_018.wav,e na wa yi,1.6
dolores_fongbe_corp015_019,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\dolores_fongbe_corp015_019.wav,ye na wa ku,1.33
dolores_fongbe_corp015_020,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\dolores_fongbe_corp015_020.wav,e nɔ gbo jage do xo ɔ mε din,3.1
dolores_fongbe_corp015_021,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\dolores_fongbe_corp015_021.wav,e nɔ do fɔngbe ganji,1.99
dolores_fongbe_corp015_022,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\dolores_fongbe_corp015_022.wav,e ɖɔ xo nu mi ɖo nu glɔ,2.32
dolores_fongbe_corp015_023,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\dolores_fongbe_corp015_023.wav,mε a ɖɔ xo na,1.36
dolores_fongbe_corp015_024,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\dolores_fongbe_corp015_024.wav,e ɖɔ xo ɖayi,1.39
dolores_fongbe_corp015_025,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\dolores_fongbe_corp015_025.wav,e ɖo xo ɖɔ wε ɖayi,1.98
dolores_fongbe_corp015_026,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\dolores_fongbe_corp015_026.wav,a ku gan kpo xoɖiɖɔ kpo,2.53
dolores_fongbe_corp015_027,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\dolores_fongbe_corp015_027.wav,jezu yi wan nu mi bo wa nɔ mi mε,2.89
dolores_fongbe_corp015_028,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\dolores_fongbe_corp015_028.wav,e se xo e a ɖɔ lε,1.69
dolores_fongbe_corp015_029,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\dolores_fongbe_corp015_029.wav,e gbo kwε ɔ hwla,2.1
dolores_fongbe_corp015_030,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\dolores_fongbe_corp015_030.wav,e gbo lan ɖu,1.29
dolores_fongbe_corp015_031,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\dolores_fongbe_corp015_031.wav,e gbo ɖɔ,1.25
dolores_fongbe_corp015_032,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\dolores_fongbe_corp015_032.wav,e gɔn yiyi,1.31
dolores_fongbe_corp015_033,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\dolores_fongbe_corp015_033.wav,e yi trolo jεn a wa,1.7
dolores_fongbe_corp015_034,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\dolores_fongbe_corp015_034.wav,un wa ba yi,1.44
dolores_fongbe_corp015_035,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\dolores_fongbe_corp015_035.wav,a ma yi dɔn a,1.41
dolores_fongbe_corp015_036,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\dolores_fongbe_corp015_036.wav,e ɖɔ nu mi ɖɔ a kun na wa o,2.85
dolores_fongbe_corp015_037,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\dolores_fongbe_corp015_037.wav,un ɖu nu loɔ un ka gɔ xo a,2.19
dolores_fongbe_corp015_038,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\dolores_fongbe_corp015_038.wav,e na ɖu nu ace,1.82
dolores_fongbe_corp015_039,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\dolores_fongbe_corp015_039.wav,fi tε nya elɔ ka gbɔn,2.11
dolores_fongbe_corp015_040,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\dolores_fongbe_corp015_040.wav,e din gbɔn fi,1.49
dolores_fongbe_corp015_041,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\dolores_fongbe_corp015_041.wav,e gbɔn ji ce,1.63
dolores_fongbe_corp015_042,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\dolores_fongbe_corp015_042.wav,wa yi gbɔn fi s,1.45
dolores_fongbe_corp015_043,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\dolores_fongbe_corp015_043.wav,e gbɔn nu glɔ bo wa gɔn ce,2.05
dolores_fongbe_corp015_044,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\dolores_fongbe_corp015_044.wav,ku do gbe ɖe,1.43
dolores_fongbe_corp015_045,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\dolores_fongbe_corp015_045.wav,to ɖetε wε,1.46
dolores_fongbe_corp015_046,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\dolores_fongbe_corp015_046.wav,gbe nyɔ a,1.65
dolores_fongbe_corp015_047,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\dolores_fongbe_corp015_047.wav,un lin nu gege gbɔn gbla tɔn mε,3.4
dolores_fongbe_corp015_048,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\dolores_fongbe_corp015_048.wav,ajɔ gu mi,1.43
dolores_fongbe_corp015_049,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\dolores_fongbe_corp015_049.wav,gbεtɔ na ɖo gbigbε mi wε,2.28
dolores_fongbe_corp015_050,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\dolores_fongbe_corp015_050.wav,mε nε,0.97
dolores_fongbe_corp015_051,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\dolores_fongbe_corp015_051.wav,un mɔ mεti a,1.5
dolores_fongbe_corp015_052,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\dolores_fongbe_corp015_052.wav,mε e un ɖɔ xo xa ɔ,1.56
dolores_fongbe_corp015_053,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\dolores_fongbe_corp015_053.wav,e hεn vi ce gble,1.88
dolores_fongbe_corp015_054,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\dolores_fongbe_corp015_054.wav,un mɔ tε ɖokpo ɖo zun gozwe ɖe mε,3.61
dolores_fongbe_corp015_055,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\dolores_fongbe_corp015_055.wav,dεdε gi nɔ bi,1.56
dolores_fongbe_corp015_056,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\dolores_fongbe_corp015_056.wav,e geze kpεɖe din mε,2.16
dolores_fongbe_corp015_057,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\dolores_fongbe_corp015_057.wav,lε ɖɔ kpεɖe nu mi ɖe ji,2.06
dolores_fongbe_corp015_058,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\dolores_fongbe_corp015_058.wav,e gbo adɔ bo ɖɔ xo,2.38
dolores_fongbe_corp015_059,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\dolores_fongbe_corp015_059.wav,enyi xεsi ɖi we ɔ ayi towe bi gba do,3.46
dolores_fongbe_corp015_060,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\dolores_fongbe_corp015_060.wav,an nya ε nεgbɔn a ɖafɔ ji ce,3.49
dolores_fongbe_corp015_061,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\dolores_fongbe_corp015_061.wav,un nɔ ɖu jε bo nɔ ɖu takin a,3.09
dolores_fongbe_corp015_062,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\dolores_fongbe_corp015_062.wav,gbɔnvε mε mi,1.52
dolores_fongbe_corp015_063,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\dolores_fongbe_corp015_063.wav,vi mεxo ɔ jε gbεvi han do tɔ tɔn ji,4.13
dolores_fongbe_corp015_064,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\dolores_fongbe_corp015_064.wav,lee a ɖe din ɔ e nyɔ nukun ce mε tlala,3.63
dolores_fongbe_corp015_065,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\dolores_fongbe_corp015_065.wav,e gɔ tun fla,1.61
dolores_fongbe_corp015_066,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\dolores_fongbe_corp015_066.wav,e gɔ kɔ nyayi,1.76
dolores_fongbe_corp015_067,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\dolores_fongbe_corp015_067.wav,tɔ ce ku wε zɔn bɔ un ya vi,2.57
dolores_fongbe_corp015_068,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\dolores_fongbe_corp015_068.wav,e xo mi enε wutu wε un ya vi i,3.05
dolores_fongbe_corp015_069,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\dolores_fongbe_corp015_069.wav,ji ja ɔ gbεmε na fa,2.13
dolores_fongbe_corp015_070,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\dolores_fongbe_corp015_070.wav,ɖo ji ja wutu wε un yi azɔmε a,3.38
dolores_fongbe_corp015_071,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\dolores_fongbe_corp015_071.wav,jikun ɖona ja ɖazan tɔn mε,3.14
dolores_fongbe_corp015_072,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\dolores_fongbe_corp015_072.wav,kɔ tɔn gbo ala,1.96
dolores_fongbe_corp015_073,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\dolores_fongbe_corp015_073.wav,e wazɔ hu mi,1.56
dolores_fongbe_corp015_074,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\dolores_fongbe_corp015_074.wav,e hu mεxo mi,1.82
dolores_fongbe_corp015_075,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\dolores_fongbe_corp015_075.wav,un sɔ na nɔ xa mi gaga ɖe ă,2.82
dolores_fongbe_corp015_076,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\dolores_fongbe_corp015_076.wav,un sɔ yi azɔmε a,2.28
dolores_fongbe_corp015_077,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\dolores_fongbe_corp015_077.wav,un na sɔ wa a,1.55
dolores_fongbe_corp015_078,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\dolores_fongbe_corp015_078.wav,ajaka hwe hu awi,2.0
dolores_fongbe_corp015_079,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\dolores_fongbe_corp015_079.wav,mi ma sɔ wa o,1.44
dolores_fongbe_corp015_080,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\dolores_fongbe_corp015_080.wav,e ɖo nu na ɖu wε,1.47
dolores_fongbe_corp015_081,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\dolores_fongbe_corp015_081.wav,e ɖo genu,1.73
dolores_fongbe_corp015_082,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\dolores_fongbe_corp015_082.wav,awi wa bɔ e nε hwevi,2.14
dolores_fongbe_corp015_083,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\dolores_fongbe_corp015_083.wav,a ɖo ɖagbe a,1.52
dolores_fongbe_corp015_084,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\dolores_fongbe_corp015_084.wav,e ɖo gbatε sɔ wε,1.7
dolores_fongbe_corp015_085,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\dolores_fongbe_corp015_085.wav,e nɔ sɔ gbatε,1.79
dolores_fongbe_corp015_086,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\dolores_fongbe_corp015_086.wav,egbe ɔ un kpe alɔ ɖagbe,2.67
dolores_fongbe_corp015_087,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\dolores_fongbe_corp015_087.wav,a ɖo ɖagbe a,1.67
dolores_fongbe_corp015_088,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\dolores_fongbe_corp015_088.wav,e ɖo glo tɔn,1.47
dolores_fongbe_corp015_089,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\dolores_fongbe_corp015_089.wav,wutu ce slɔ fun,1.79
dolores_fongbe_corp015_090,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\dolores_fongbe_corp015_090.wav,mawuxojlatɔ lε ɖesu ɖo fɔngbe kplɔn wε bona do jla mawuxo ɖo to ɔ mε,6.53
dolores_fongbe_corp015_091,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\dolores_fongbe_corp015_091.wav,nε gbɔn,1.24
dolores_fongbe_corp015_092,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\dolores_fongbe_corp015_092.wav,xovε ɖo huhui enε ɔ wutu wε e xɔ nuɖuɖu,3.99
dolores_fongbe_corp015_093,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\dolores_fongbe_corp015_093.wav,e gbε kpo ɖo tunnu tɔn,2.29
dolores_fongbe_corp015_094,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\dolores_fongbe_corp015_094.wav,mεsi kplɔn nu ye cobɔ ye ɖu afɔku,4.15
dolores_fongbe_corp015_095,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\dolores_fongbe_corp015_095.wav,e gɔ gbe,1.58
dolores_fongbe_corp015_096,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\dolores_fongbe_corp015_096.wav,e ɖo mawusi,1.17
dolores_fongbe_corp015_097,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\dolores_fongbe_corp015_097.wav,fina a sii ɖɔ fi e a gosin ɔ nu mi a,3.5
dolores_fongbe_corp015_098,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\dolores_fongbe_corp015_098.wav,un hεn ɔ na blo,1.78
dolores_fongbe_corp015_099,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\dolores_fongbe_corp015_099.wav,eo nyε un kpewu a mε,1.89
dolores_fongbe_corp015_100,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\dolores_fongbe_corp015_100.wav,mɔ jεn wε,1.28
dolores_fongbe_corp015_101,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\dolores_fongbe_corp015_101.wav,e gbla klεklε nu,2.02
dolores_fongbe_corp015_102,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\dolores_fongbe_corp015_102.wav,e gbe yawo,1.31
dolores_fongbe_corp015_103,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\dolores_fongbe_corp015_103.wav,wema ce yi gbe un ja,2.37
dolores_fongbe_corp015_104,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\dolores_fongbe_corp015_104.wav,glo mɔ glo sɔ,1.72
dolores_fongbe_corp015_105,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\dolores_fongbe_corp015_105.wav,glelilε ma nyɔ ze,1.87
dolores_fongbe_corp015_106,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\dolores_fongbe_corp015_106.wav,sɔ gbɔ yi do kan sɔ kan yi do gbɔ,3.26
dolores_fongbe_corp015_107,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\dolores_fongbe_corp015_107.wav,nyɔnu e sin avɔ un yi ɔ,2.85
dolores_fongbe_corp015_108,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\dolores_fongbe_corp015_108.wav,e nɔ gu bo tεnmε tεnmε lε bo nɔ sɔ do akpo mε,4.43
dolores_fongbe_corp015_109,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\dolores_fongbe_corp015_109.wav,un ɖo gbe towe xo wε,1.72
dolores_fongbe_corp015_110,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\dolores_fongbe_corp015_110.wav,e fyɔn nutitε nu mi,1.98
dolores_fongbe_corp015_111,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\dolores_fongbe_corp015_111.wav,e fyɔn nutitε nu mi,2.0
dolores_fongbe_corp015_112,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\dolores_fongbe_corp015_112.wav,mawu ni na mi gbigbɔ,2.04
dolores_fongbe_corp015_113,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\dolores_fongbe_corp015_113.wav,a nɔ blo gbangan din,1.96
dolores_fongbe_corp015_114,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\dolores_fongbe_corp015_114.wav,dεdε sia,1.06
dolores_fongbe_corp015_115,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\dolores_fongbe_corp015_115.wav,e ɖo gankpa ɔ mε,1.76
dolores_fongbe_corp015_116,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\dolores_fongbe_corp015_116.wav,e gbo mi,0.98
dolores_fongbe_corp015_117,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\dolores_fongbe_corp015_117.wav,e gblɔn kudan,1.39
dolores_fongbe_corp015_118,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\dolores_fongbe_corp015_118.wav,e jε adan gblɔn nu kεntɔ tɔn ji,3.17
dolores_fongbe_corp015_119,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\dolores_fongbe_corp015_119.wav,e nyi nukplɔnmεtɔ,1.8
dolores_fongbe_corp015_120,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\dolores_fongbe_corp015_120.wav,e ɖo do gɔngɔn ɖe mε,1.94
dolores_fongbe_corp015_121,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\dolores_fongbe_corp015_121.wav,tɔ ɔ gɔngɔn,1.4
dolores_fongbe_corp015_122,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\dolores_fongbe_corp015_122.wav,zin gɔngɔn,1.42
dolores_fongbe_corp015_123,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\dolores_fongbe_corp015_123.wav,e ɖi sa gbɔn toxo ɔ mε,2.45
dolores_fongbe_corp015_124,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\dolores_fongbe_corp015_124.wav,vi ce ɖo sa ɖi wε ɖo gbεnde mε,3.4
dolores_fongbe_corp015_125,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\dolores_fongbe_corp015_125.wav,e gblɔn adan ɖɔ emi na blo,2.77
dolores_fongbe_corp015_126,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\dolores_fongbe_corp015_126.wav,e sa bogbe ɖo ye,2.47
dolores_fongbe_corp015_127,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\dolores_fongbe_corp015_127.wav,e kanbyɔ mi ɖɔ hwetεnu tɔ ce na wa aji,3.92
dolores_fongbe_corp015_128,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\dolores_fongbe_corp015_128.wav,akwε ɖasi tɔn kpɔ gbobli,2.58
dolores_fongbe_corp015_129,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\dolores_fongbe_corp015_129.wav,akwε ɖo tɔ ce sin vatε mε gbidii,3.42
dolores_fongbe_corp015_130,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\dolores_fongbe_corp015_130.wav,e ɖɔ a na wa,1.48
dolores_fongbe_corp015_131,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\dolores_fongbe_corp015_131.wav,e ɖɔ nu mi ɖɔ tɔ tɔn na wa,2.08
dolores_fongbe_corp015_132,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\dolores_fongbe_corp015_132.wav,un ɖu lan ɖee a xɔ ɔ,1.7
dolores_fongbe_corp015_133,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\dolores_fongbe_corp015_133.wav,un su ɖaxo sɔ we,1.57
dolores_fongbe_corp015_134,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\dolores_fongbe_corp015_134.wav,nyibu klo hu lεngbɔ,2.16
dolores_fongbe_corp015_135,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\dolores_fongbe_corp015_135.wav,totεmε a xwe,1.58
dolores_fongbe_corp015_136,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\dolores_fongbe_corp015_136.wav,wema elɔ ɔ,1.55
dolores_fongbe_corp015_137,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\dolores_fongbe_corp015_137.wav,mε elɔ lε,1.41
dolores_fongbe_corp015_138,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\dolores_fongbe_corp015_138.wav,e kan byɔ ahwlikpɔnuwa ɖɔ axi wε xwe aji nukanbyɔ ɔ xo wε nɔ gɔ nu we a,7.44
dolores_fongbe_corp015_139,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\dolores_fongbe_corp015_139.wav,mε gɔn a xwe,1.31
dolores_fongbe_corp015_140,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\dolores_fongbe_corp015_140.wav,mε tɔn wε,1.22
dolores_fongbe_corp015_141,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\dolores_fongbe_corp015_141.wav,mε wε,1.19
dolores_fongbe_corp015_142,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\dolores_fongbe_corp015_142.wav,mε e un ɖɔ xo na ɔ,1.23
donald_fongbe_corp005_001,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\donald_fongbe_corp005_001.wav,xo ɔ gbla to nu mi,2.8
